content,score
Lebih bagus dari H@lodoc ...... dokternya juga ramah,5
"The app is good. This 1 star is for your WhatsApp CS, very slow response. Even I got recovered before the CS reply my WA.",1
Dokter Arief Tri Bowo nya sabar...👍👍👍,5
Cepat disaat butuh. Untuk sakit2 umum bs bgt dipakai,5
Ini mstnya bs konsultasi ynya jawab tp kota malah hubungan sama robot. Gejala kita ga ada di pilihan mrk ambil kesimpulan semdiri. Worst telemedicine ever,1
Anehnya setiap kali buat janji pake aladokter dokter nya selalu gak hadir dan gak pernah ada pemberitahuan sebelumnya. Dan ini gak sekali aja 😭😭 dongkol gak si 😖😖 udah jauh² Dateng ke RS nya!,3
Mantab sekali.aplikasi ini. Sangat membantu,5
berbayar. dulu gratis,1
"Pelayanannya untuk beli obat tidak bagus sama sekaLI ... App ini termasuk pelayanan urgent yang artinya menolong orang sakit atau meringankan sakit.. Masa suruh orang tunggu obat besok PAGI baru bisa kirim tidak ada kabar2 sama sekALI...Kalo saya gak tanya gak diinfo tuh... Keburu orang sakit parah... PARAH BANGET SISTEMNYA ... GAK BISA BATAL TAPI GAK BISA NOLONG... SUDAH ITU JAM 11 PAGI AJA OBATNYA AJA BELUM DIKIRIM...JANGAN KERJASAMA APOTIK MALL.. MERUGIKAN SAYA, HARUS BELI 2x.",1
Helpful,5
"Sampai saat ini, saya masih menyukai ""alodokter"". Tapi saya mau tanya. Bagaimana caranya ""Buat Pertanyaan"" di alodokter? Dulu saat saya klik ""Buat Pertanyaan"" langsung muncul kolom untuk mengetik pertanyaan, setelah itu tinggal ""post"". Tapi sekarang, saat saya klik ""Buat Pertanyaan"" kenapa selalu diarahkan untuk install aplikasi alodokter di playstore. Sedangkan saya memang enggan menginstall banyak aplikasi. Apakah aturannya memang sudah berubah? Mohon infonya.",5
Good application very helpful. Thanks Alodokter,5
"HATI2 HIDDEN FEES! Pake alodokter daftar dr lebih mahal 50% drpd daftar langsung ke dr/RS.Sblm daftar lewat alodokter,aku cek ke RS biaya dr nya 130rb n disuruh dtg 1 jam lbh awal utk registrasi.Aku cek di alodokter biaya dr yg sama di RS tsb cuma 125rb.Jd aku daftar lewat alodokter.Trnyt stlh daftar,disuruh dtg 30 menit sblmnya.Sampai RS tetap hrs registrasi n nunggu antrian 1 jam.Pas keluar tagihan disuruh bayar 190.500,bukan 125rb.Lbh mahal 60.500 dari daftar lgs ke dr/RS.GA ADA BENEFIT APA2",1
Quick answer and helpful,5
So helpful,5
Saya salah ngira kirain opsi anter aja itu dipake krn apa.. taunya ngambil dari apotek terdekatnya di JAKARTA SELATAN padahal saya di Bandung.. mana nggak bisa diubah opsi apoteknya..,4
"Janji temu dokter dibatalkan tiba-tiba dengan alasan kuota penuh. Kalau emang kuota penuh kenapa tanggal tersebut masih bisa dibook? Harusnya close book aja dong kalau emang udah penuh, biar nggak pembatalan tiba-tiba gini",1
Bagus,5
Thank you Dr. Reno. Sangat membantu,5
Good,5
Terima kasih Dok,5
Oke👍,5
Terima kasih,5
"Dokternya fast respon walaupun saya chatnya di jam"" rawan",5
"Aplikasi rusak, pesen malem2, udah bayar pake ovo tapi pembayaran diproses terus sampe besok siangnya. Di chat costumer service nya pun cuma direspon mau konfirmasi dulu doang terus udah gaada lanjutannya plus slow respon bangett2. Sampe akhirnya kurirnya nelfon karna udah sampe ditempat tujuan yang padahal saya udah ga disitu lagi. Minta refund tapi kalo udh dianter mau gmn, kasihan jg kurirnya. Tolong lah ya ditingkatkan lagi dari segi aplikasi dan cs nya.",1
Waktu tunggu cukup lama,3
"bikin janji online, waktu ke rs dokternya ga sesuai, terus beberapa hari kemudian tiba2 dapat wa ada tunggakan dan disuruh bayar, padahal di app ga ada info biaya booking, aneh sekali",1
12 jam menunggu obat tidak datang². Komplain jawaban spt robot dan tidak ada jawaban jelas. Hub pihak terkait dari pagi padahal sudah dikomplain sampai siang jawaban masih spt itu saja... Masa pengantaran instant selama itu. Tidak seprofesional Halodoc.,1
"data bocor dalam hitungan hari, langsung ditelpon penipu asuransi mengatasnamakan aplikasi, isu yang sam dialami hampir semua pengguna, nggak aman, permintaan penutupan akun ditolak mentah-mentah padahal hak pengguna yang dilindungi undang-undang, disayangkan",1
Terbaik Sangat membantu,5
Aplikasinya bagus. Sayang tidak ada pilihan dokter olah raga (SpKO) pada menu konsultasi.,5
Terimakasih sudah mengambil duit saya perbulan tanpa sepengetahuan saya.. untuk sales alo doct tolong diberitahu untuk lebih informatif ke planggan niat awal membantu untuk nutup deadline sales. Setelah 1tahun membayar saya merasa dirugikat ter auto debet tanpa sepengetahuan...,1
Bgs syg udh mahal konsul nya,5
Sangat membantu setiap keluhan,5
Aplikasinya bagus tingkatkaan terus alodok,5
Good,5
Sangat berguna dan jelas,5
Sangat membanty,5
Awesome,5
"aplikasi yang ok, dokternya juga siap sedia melayani pasien.",5
Sangat membantu,5
Sangat mwmbantu,5
Very helpfull,5
"Sangat membantu sekali, dr nya ramah2",5
trmksh kak,5
Terima kasih dokter Vanda.. 🙂👍🙏,5
Very bad apps,1
Good,5
Good,5
Membantu sekali,5
❤❤❤,5
"Oke, sangat membantu",5
Easy to use,5
Orang lagi sakit tapi menunggu obatnya lama,1
Nice app,5
"Sangat membantu deh, cuma kok kurang interaktif ya dengan dokternya walaupun bayarnya murah hehehe",5
Aplikasi dokter paling simple menurut saya.,5
Practise doesn't always mean accurate,3
Fast respon dan recommended serta simple tanpa harus repot - repot,5
"tdk bisa bertanya/chat dr, males ah",1
Good,5
"Easy to use, and good UIX",5
"Would be better if the app have feature to download invoice, doctor's prescription, and diagnose.",3
loading lama,1
Exellent,4
Sangat membantu,5
