score,content_contractions
1,"The app is good. This 1 star is for your WhatsApp CS, very slow response. Even I got recovered before the CS reply my WA."
5,Good application very helpful. Thanks Alodokter
5,Quick answer and helpful
1,Very bad apps
5,Easy to use
3,Practise does not always mean accurate
5,"Easy to use, and good UIX"
3,"Would be better if the app have feature to download invoice, doctor's prescription, and diagnose."
5,"quick response, very2 good 👍👍"
5,"Helpful, eventhoigh the features need to be learned but the doctor that online, are fast reaction than other health telemedicine operator"
5,Love 😘❤️😘 you
5,"Very helpful, specially in pandemic"
5,Helpful even at night time.
5,"very helpful, thank you"
4,Easier and cheaper but useful..
4,Simple to use for health consulting
5,Fast Respon and clear information
5,Fast and accurate. Thank you Alodokter (dr.Tea)
2,I do not understand why this app cannot be opened?
5,I had an experience to consult with one of the general doctor. She is very responsive. Nice
5,Convenient and easy.
3,"Because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what Alodokter has inform, just like my experience where Alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). This is so embarrassing where at that time i only bring 100k and did not have more exchange, i hope this can be reviewed and changed in the future."
5,"Very helpful, fast respons.. mantaabb"
5,very helpfull and informative
5,Users friendly. Not complicated.
5,This app is really helping me
1,"Unuseful, waiting for the Doctor for 2 hours without any information"
5,Thanks doc .
5,Helpful alot for emergency situation
5,"Great experience,with good doctor."
1,Used to love this app until I cannot login anymore. It keeps asking for my full name after logging in using otp. Please fix it :(
5,Very useful app
5,Awesome health application
4,Can you pls stop your CS from contacting us?
5,"Good explanation,, when my baby needs help"
1,"I pay the consultation, but the doctor does not give any treatmeant for the problem Please if doctor does not give a treatmeant to user, please refund our money"
2,God Bless you.
1,"DOKTERNYA GA PRAKTEK! APLIKASI ALODOKTER GA UPDATE, BUANG2 WAKTU AJA PAKE ALODOKTER. APLIKASI AMPAS, JANGAN PAKAI APPS INI"
5,Thank you dr Bunga for your advise...Good Job 👍
5,The doctor and the aplication are marvelous
5,Good application and helping for those require medical advice.
5,I use this application with payment 39.000 every month. This offers good service with good doctor. 39.000 rupiah can be used for many account. The good thing is there is physcholog as well. This help me and my family
5,Good app. I can discuss or ask with doctor about my condition
5,Let Us me get that covid 19 help
1,Asking a lot of data that already submitted. Slow response
1,"Was asking about stomach ache, the doctor answer were about fever. The fever as mention has been gone since day one but the stomach pain remains. That was the question. Please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering"
4,Fast response... Very recommended
5,Very helpful and friendly user
5,Very helpfull..thanx you
5,"First experience, thanks"
5,Very good and quick respon
5,Thanks a lot
5,Fast and detail
5,I got covid 19 and Kemenkes suggested me to install Alodokter to get free consultation and medicine. I am so happy that now a days it is easy to access health service from your bed.
5,"Helpfull, thankyou alodokter"
5,Responsive and interactive!
1,"Did the long review but they somehow removed my post, well anyway i will make it short this one.. this will be my first and last using this app! Better book directly to the hospital for the Dr's appoitnment"
5,Really helpfully 🙏🙏🙏
2,"It seems a chat bot, so quick to ask with template question"
5,It really helps when i needed medicine to cure my sickness and validate any information around internet. Thank you Alodokter
5,New aplication need to study first
5,So helpful and fast response
5,"it is worthed, interactive chat with options available doctors. many thanks 🙏 the rest would be wish and pray to GOD 🤲."
5,easy to use
5,Thaks to support
1,"Hii, need help. Please fix, per today since 18:30 on Redmi Note 8 Pro device, this apps does not work WHILE I am in the middle of PAID consultation with the doctors about my health concerns.... Previously re-install solved the issues, but suddenly it repeated and cannot be solved again even though i already reinstalled the apps. The notif pop-up said that there are not any internet connection, meanwhile I am opening other online apps are clearly fast and speed test the internet speed above 10Mbps"
5,God bless this application and all the doctors!
5,Very helpful app
4,"Kind Of disappointed with the system. When you look for the doctor, it was said that they are available.. but then after you purchased for consultation, it said that they are busy.. then after i wait for them to finish their session, they immediately went offline.. why cannot we consult first then pay? Or is there any other way so that we do not waste our time like that?"
5,Good and quick respon
5,Is this app only meant for Indonesia?am from Singapore trying to register but cannot Alredy tried to register with my email and phone number for verification but cannot ?
5,It is user friendly
1,"This is a scam app, do not even try. Do not let them have your phone number, more importantly do not let them know YOUR BANK ACCOUNT NUMBER, they can autodebit/autocharge you even without your consent. Worse, they sell your data to third parties. They do all those WITHOUT your consent."
5,Very helpful during this pandemic where people limit their movement
5,Fast respond ...
5,"Great apps, easy and believable!! You should download and get the lots information about your health from Alodokter!!"
4,"I find some good doctors. Will be better if we can edit review to doctor because some doctors did not reply and I give bad feedback, and find out they answer and having bad signal. The review box popped out before I can read the reply. So I feel bad for the review."
5,Easy to use. Useful for quick n simple consultation.
5,The best app
5,I got a fast response from the doctor
1,Useless and detrimental app! user money thief! using user data without permission and then taking money in the account at will.
5,"Very good, fast response"
5,Helpful with fair price
