score,content_contractions,compound,neg,neu,pos,vader_rating
1,"The app is good. This 1 star is for your WhatsApp CS, very slow response. Even I got recovered before the CS reply my WA.",0.4404,0.0,0.892,0.108,1
5,Good application very helpful. Thanks Alodokter,0.847,0.0,0.246,0.754,2
5,Quick answer and helpful,0.4215,0.0,0.517,0.483,1
1,Very bad apps,-0.5849,0.655,0.345,0.0,-2
5,Easy to use,0.4404,0.0,0.408,0.592,2
3,Practise does not always mean accurate,0.0,0.0,1.0,0.0,0
5,"Easy to use, and good UIX",0.7003,0.0,0.408,0.592,2
3,"Would be better if the app have feature to download invoice, doctor's prescription, and diagnose.",0.4404,0.0,0.828,0.172,1
5,"quick response, very2 good 👍👍",0.4404,0.0,0.707,0.293,1
5,"Helpful, eventhoigh the features need to be learned but the doctor that online, are fast reaction than other health telemedicine operator",0.2263,0.0,0.913,0.087,1
5,Love 😘❤️😘 you,0.8689,0.0,0.479,0.521,2
5,"Very helpful, specially in pandemic",0.4754,0.0,0.564,0.436,1
5,Helpful even at night time.,0.4215,0.0,0.588,0.412,1
5,"very helpful, thank you",0.707,0.0,0.254,0.746,2
4,Easier and cheaper but useful..,0.6956,0.0,0.343,0.657,2
4,Simple to use for health consulting,0.0,0.0,1.0,0.0,0
5,Fast Respon and clear information,0.3818,0.0,0.606,0.394,1
5,Fast and accurate. Thank you Alodokter (dr.Tea),0.3612,0.0,0.706,0.294,1
2,I do not understand why this app cannot be opened?,0.0,0.0,1.0,0.0,0
5,I had an experience to consult with one of the general doctor. She is very responsive. Nice,0.707,0.0,0.719,0.281,1
5,Convenient and easy.,0.4404,0.0,0.408,0.592,2
3,"Because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what Alodokter has inform, just like my experience where Alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). This is so embarrassing where at that time i only bring 100k and did not have more exchange, i hope this can be reviewed and changed in the future.",-0.129,0.096,0.824,0.08,-1
5,"Very helpful, fast respons.. mantaabb",0.4754,0.0,0.564,0.436,1
5,very helpfull and informative,0.0,0.0,1.0,0.0,0
5,Users friendly. Not complicated.,0.4939,0.0,0.484,0.516,2
5,This app is really helping me,0.3597,0.0,0.667,0.333,1
1,"Unuseful, waiting for the Doctor for 2 hours without any information",0.0,0.0,1.0,0.0,0
5,Thanks doc .,0.4404,0.0,0.408,0.592,2
5,Helpful alot for emergency situation,0.0516,0.31,0.357,0.333,1
5,"Great experience,with good doctor.",0.7906,0.0,0.222,0.778,2
1,Used to love this app until I cannot login anymore. It keeps asking for my full name after logging in using otp. Please fix it :(,0.5574,0.09,0.71,0.201,1
5,Very useful app,0.4927,0.0,0.385,0.615,2
5,Awesome health application,0.6249,0.0,0.328,0.672,2
4,Can you pls stop your CS from contacting us?,-0.2263,0.21,0.667,0.124,-1
5,"Good explanation,, when my baby needs help",0.6808,0.0,0.472,0.528,2
1,"I pay the consultation, but the doctor does not give any treatmeant for the problem Please if doctor does not give a treatmeant to user, please refund our money",0.2846,0.133,0.701,0.165,1
2,God Bless you.,0.5994,0.0,0.169,0.831,2
1,"DOKTERNYA GA PRAKTEK! APLIKASI ALODOKTER GA UPDATE, BUANG2 WAKTU AJA PAKE ALODOKTER. APLIKASI AMPAS, JANGAN PAKAI APPS INI",0.3867,0.0,0.879,0.121,1
5,Thank you dr Bunga for your advise...Good Job 👍,0.3612,0.0,0.783,0.217,1
5,The doctor and the aplication are marvelous,0.5994,0.0,0.606,0.394,1
5,Good application and helping for those require medical advice.,0.6249,0.0,0.579,0.421,1
5,I use this application with payment 39.000 every month. This offers good service with good doctor. 39.000 rupiah can be used for many account. The good thing is there is physcholog as well. This help me and my family,0.9173,0.0,0.709,0.291,1
5,Good app. I can discuss or ask with doctor about my condition,0.4404,0.0,0.791,0.209,1
5,Let Us me get that covid 19 help,0.4019,0.0,0.722,0.278,1
1,Asking a lot of data that already submitted. Slow response,0.0,0.0,1.0,0.0,0
1,"Was asking about stomach ache, the doctor answer were about fever. The fever as mention has been gone since day one but the stomach pain remains. That was the question. Please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering",0.4404,0.139,0.682,0.179,1
4,Fast response... Very recommended,0.2716,0.0,0.589,0.411,1
5,Very helpful and friendly user,0.762,0.0,0.314,0.686,2
5,Very helpfull..thanx you,0.0,0.0,1.0,0.0,0
5,"First experience, thanks",0.4404,0.0,0.408,0.592,2
5,Very good and quick respon,0.4927,0.0,0.556,0.444,1
5,Thanks a lot,0.4404,0.0,0.408,0.592,2
5,Fast and detail,0.0,0.0,1.0,0.0,0
5,I got covid 19 and Kemenkes suggested me to install Alodokter to get free consultation and medicine. I am so happy that now a days it is easy to access health service from your bed.,0.8988,0.0,0.745,0.255,1
5,"Helpfull, thankyou alodokter",0.0,0.0,1.0,0.0,0
5,Responsive and interactive!,0.4199,0.0,0.417,0.583,2
1,"Did the long review but they somehow removed my post, well anyway i will make it short this one.. this will be my first and last using this app! Better book directly to the hospital for the Dr's appoitnment",0.7777,0.0,0.845,0.155,1
5,Really helpfully 🙏🙏🙏,0.5563,0.0,0.661,0.339,1
2,"It seems a chat bot, so quick to ask with template question",0.0,0.0,1.0,0.0,0
5,It really helps when i needed medicine to cure my sickness and validate any information around internet. Thank you Alodokter,0.7841,0.0,0.683,0.317,1
5,New aplication need to study first,0.0,0.0,1.0,0.0,0
5,So helpful and fast response,0.4754,0.0,0.564,0.436,1
5,"it is worthed, interactive chat with options available doctors. many thanks 🙏 the rest would be wish and pray to GOD 🤲.",0.8668,0.0,0.662,0.338,1
5,easy to use,0.4404,0.0,0.408,0.592,2
5,Thaks to support,0.4019,0.0,0.426,0.574,2
1,"Hii, need help. Please fix, per today since 18:30 on Redmi Note 8 Pro device, this apps does not work WHILE I am in the middle of PAID consultation with the doctors about my health concerns.... Previously re-install solved the issues, but suddenly it repeated and cannot be solved again even though i already reinstalled the apps. The notif pop-up said that there are not any internet connection, meanwhile I am opening other online apps are clearly fast and speed test the internet speed above 10Mbps",0.6574,0.024,0.882,0.094,1
5,God bless this application and all the doctors!,0.636,0.0,0.536,0.464,1
5,Very helpful app,0.4754,0.0,0.393,0.607,2
4,"Kind Of disappointed with the system. When you look for the doctor, it was said that they are available.. but then after you purchased for consultation, it said that they are busy.. then after i wait for them to finish their session, they immediately went offline.. why cannot we consult first then pay? Or is there any other way so that we do not waste our time like that?",0.4953,0.071,0.842,0.087,1
5,Good and quick respon,0.4404,0.0,0.508,0.492,1
5,Is this app only meant for Indonesia?am from Singapore trying to register but cannot Alredy tried to register with my email and phone number for verification but cannot ?,0.2047,0.0,0.939,0.061,1
5,It is user friendly,0.4939,0.0,0.484,0.516,2
1,"This is a scam app, do not even try. Do not let them have your phone number, more importantly do not let them know YOUR BANK ACCOUNT NUMBER, they can autodebit/autocharge you even without your consent. Worse, they sell your data to third parties. They do all those WITHOUT your consent.",0.485,0.115,0.702,0.183,1
5,Very helpful during this pandemic where people limit their movement,0.4754,0.0,0.744,0.256,1
5,Fast respond ...,0.0,0.0,1.0,0.0,0
5,"Great apps, easy and believable!! You should download and get the lots information about your health from Alodokter!!",0.8469,0.0,0.662,0.338,1
