content,score
Great app. Selama ini hanya dipakai untuk beli obat. Sangat membantu saat perlu obat dan tidak bisa ke apotek.,5
"i've already uploaded the medicine recipe, why i still have to consult before buying medicine?",1
Really helpfull,5
"barang kadaluarsa masih bisa dikirim, katanya cs 24 jam tapi robot doang. edit : cuma dibalikin sesuai invoice, yg nyangkut di saldo krn refund gmn? tolong lain kali dicek juga itu apotek tobersa medika bisa jual barang udah kadaluarsa dari bulan 7 :)",1
Nice application,5
Usefull app.,5
pilihan yg terbaik untuk anak kos 😃👍🏻,5
1. Cannot remove profile 2. Cannot delete account,1
"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",3
Sangat membantu,5
Helpful,5
Apps ini sangat membantu utk berkonsultasi dgn dokter tanpa harus keluar rumah & biaya konsultasi murah,5
Ok,5
Mayan lah..di era digital gini sangat membantu org yg lagi sakit ringan tapi mager buat ke apotek/dokter😁 sukses terus dan tingkatkan pelayanan untuk rakyat jelata spt saya hahaha,5
excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,5
"Sangat membantu , ga perlu antri nggu in dokter",5
Very helpful,5
Dokternya yang salah pilih profile saya. kenapa saya harus chat ulang?,1
Cool apps,5
Harga Mahal sekali obat,1
Helpful,5
"Responsif , ramah",5
Very easy to use,5
Dokternya baik dan ramah....tq Dok...sukses selalu .....,5
"Meskipun diantar dari jauh ongkosnya tetap dihitung dari apotek rekanan yang terdekat, mungkin apotek rekanan yang terdekat sdang habis stok, tapi ongkos ke driver gosend full sesuai jarak asli, jadi halodoc keluarin subsidi dong, anyway sangat membantu... Terimakasih",5
mudah,5
"What is wrong with the new updated app? I can't order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app can't read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It's leading me to unable order my medicine. Great! Please fix this!",2
Toko obat sering kali terlalu jauh dari alamat🙏,4
Sangat membantu,5
Helpfull,5
"Duh susah bgt mo cekout obat. Bad :""(",1
Good job,5
Very easy to use,5
"OBAT DIPESAN SALAH KIRIM KE ALAMAT ORANG, TELEPON CUSTOMER SERVICE UNTUK DIBANTU RESPOND SANGAT LAMBAT! NMR HP DAN EMAIL DIBERIKAN, KE CUSTOMER SERVICE SUDAH BILANG AGAR DITELEPON BIAR CEPAT, MALAH KIRIM EMAIL SAJA. YANG SAYA PESAN OBAT BUKAN MAINAN! DRIVER GA BERTANGGUNG JAWAB ASAL DROP OBAT DI RMH TETANGGA GA ADA KONFIRMASI.",1
Best Dokter app di Indo,5
Aplikasi yg sangat membantu,5
"Kecewa.. Sudah chat dengan dokter, dikira tidak dibalas dengan dokter, karena balasan dokter tidak muncul muncul, baru pas saya restart aplikasi, baru muncul, dan sudah telat karena konsultasinya ditutup otomatis... Kecewa.",1
"halodoc yg sekarang, tidak seperti halodoc yg dulu. emang semua aplikasi indah di awal aja. orang di suruh bayar cepat, mereka balik dana lama. jadi waswas pake ini aplikasi. mana Live Agent nya lama respon nya. tunggu 5 hari kerja dana sy kembali atau tidak, ga kembali sy uninstall. di perbaikin sistem kerjanya y. mana urgent buat orang sakit. gini jd pindah ke lain hati.",3
This app helps me a lot and it's user friendly. Thank you,5
sangat membantu terutama psikolog klinisnya,5
Membantu sekali,5
Usefull and Better than the other apps,5
🙌🏻,5
Aplikasi Konsultasi halodoc ini sangat berguna buat Saya pribadi untuk tindakan kita selanjutnya. Tks,5
"Disaat pandemi , ini sgt membantu bangeeeet. Goodjob halodoc. Pilihan spesialisnya banyak.",5
thankful ada halodoc,5
Tampilan sangat mudah dimengerti. Respon juga cepat (jika dokter tdk tersedia akan langsung diberitahu). Sangat memudahkan bagi orang untuk konsul dg dokter dimana saja dan kpn pun tanpa perlu mengantri lama,5
Oke,5
Dokternya ramah dan pelayanan cepat,5
"Biasanya langganan pake halodoc tp berkali2 coba hari ini tidak bisa order obat. Dan setiap apps nya refresh krn ada perubahan alamat/item yg dibeli, notes untuk driver hilang. Menyulitkan sekali",2
Mantapp,5
Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,5
"Padat, Singkat dan Jelas. Sangat membantu, minimal memberikan rasa tenang disaat panik krn sakit. Terima Kasih 🙏",5
very simple and helpful,5
sangat terbantu,5
"Kenapa resep obat sudah bayar. Trus berhasil pembayaran. Kemudian dibatalkan.,🥲",2
