score,content_contractions
1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?"
1,1. Cannot remove profile 2. Cannot delete account
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration."
5,excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!
5,Very easy to use
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!"
5,Very easy to use
5,This app helps me a lot and it is user friendly. Thank you
5,Usefull and Better than the other apps
5,Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good
5,very simple and helpful
5,Fast and good response
5,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience."
2,"Unreliable for not 'happy flow', slow customer service turnaround."
5,Excellent application & service
5,Very helpful app👍
5,Very good apps
5,Really helpful and easy to use
5,Very helpful & easy to use
5,The best virtual doctor apps
3,Cannot chat the doctor due to an error when I need it the most
5,This App was pretty good and user friendly.
5,Welldone halo doc. 💪
5,Good helpful user friendly
5,To do point Kerenq
5,You must not copy distribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your help with the email address and
5,Easy to use
5,so help ful
5,Good experience so far.
5,"Very useful application, it also give fast respon for your complain"
5,Nice app and good service
2,"Helpful but need a lot improvement. Instead of sending chat using sms, make a chat module."
5,Very helpfull for me and my family
5,Easy to use
5,This app really helpful and easy to use. Its necessary to help patient during pandemy. Thank you souch.
5,"An excellent app. I usually use it to buy medicine, and nothing more. I have not tried using other features. So far so good. Very practical and user friendly. It deserves 5 stars for now."
5,Very friendly doctor
1,Please fix the bug. Worst app ever. Tried to delete one of the order and tells me that need to start all over again.
5,"Very satisfied, keep up the advancement system🙏"
5,Useful while lockdown
5,easy to use
5,So fast and effective
5,Like it much
5,Choose the righ doctor..
5,must have app for health assistance
5,Good apps..good service
5,Happy to know halodoc
4,I cannot download the digital receipt.
5,"Good job, good aplication"
4,"Halodoc should provide more information why a delivery is canceled, and make the best attempt to automatically reorder it (Do not just cancel and refund). Or, provide a simpler way to reorder it manually than going through the store menu."
5,"Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time."
5,Maka my life easy...
5,Simple and fast. Well done
5,Great app for consult with doctor
5,Very helpful apps.
1,If only we have another option :/
5,Thank you to make life easier
5,Good application to consulting with the doctor. Recommended .. 👍
5,"Smooth UX, UI, fast, helpful doctor. Thank halodoc. Sukses terus"
5,"Really helpful, especially in this pandemic period, online consultation, online medicine recommendations, it makes us easier to find the 2nd opinion and quick solution when we got sick."
5,Good and easy to use
5,Nice and easy to consult with doctor
5,Easy to use!
5,Good consulting & medications carefully
5,actually save lives
2,i do not understand why Halodoc always recommend me the farthest drugs store from my house and it makes the delivery fee is more expensive
5,Thanks Halodoc. Thank you for your apps
5,Very usefull application
5,Really helpful for urgent situation. Fast respone.
5,Friendly user application
5,Responsive chat support.
5,Fast response and user friendly
5,Easy to use
5,"Just realized there is some kind of bug in the app. When i tried to open my appointment history, there are only a sign 'try again' but it did not solve anything. But for overall app, i really love Halodoc because it helps me a lot for laboratory appointment or even have a chat with the doctors. This apps also make a vaccine appointment a lot more easier."
5,Fast respon and friendly
5,Instan help and consultancy
1,Always freezing or forced close whenever I tried to open my history transactions.
5,So easy to use and simple so we can consult with doctor immediately
5,It would be nicer if there is a sick letter for us as a evidence that we are not feeling well. Thanks
5,Makes life easier
5,Fast and easy
5,Really usefull in emergency
5,"As a mom with many children who has to stay at home, this app is helpful masyaallah"
5,Super helpful. Love it!
4,Good aplication and reliable so far
5,"Very useful, we can consult to a doctor with our preferences, without leaving home, especially in this pandemi era"
5,Very user friendly and suoer fast service!
5,Excellent and helpfull.... Thanks Halodoc
1,"I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I cannot buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they have not reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶"
5,Great app 👍🏻
5,A helping hand just a click away
4,"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ"
5,Fast response! Great!
5,"easy to use, profesional medical assistance"
5,THE BEST HELP
5,Useful and user friendly UI
5,Very responsive ans helpful
5,Keep a good work and uphrade for more best experience
5,"Helpful, especially for covid patient"
4,Helping many things of getting better solution by Doctor immediate action
5,Awesome application and user friendly. Keep it up.
5,"My first contac with halodoc, surprise I can😆"
5,Easy to use and verry helpfull
5,Easy to use
5,"Cannot refund, my transaction got cancelled and when i input refund form it is always failed. edited : They reached out to me and sending my money back.👍🏻"
5,Very very helpful
5,Easy to use and clear
5,very helpful apps. thanks 👍👍👍👍👍
5,Great Service for Online Health Service
5,So impressive. I have dry cough and within less than 30 minutes I got the cough syrup that I need. The app payment system is also so smooth and not complicated. The process is so easy and not convoluted like any other similar app. Well done. 👍👍
5,Very good apps. Nice and helpful doctors.
2,Hallo Doc makes me need Hallo Help desk. Any CC and VA were failed.
1,"This app is getting worse I cannot buy anything in this app now because it keep declining my payment, please fix it"
5,Thanks for everything ❤️
5,Terbaik...👍👍 great app..user friendly..😍👏👏
3,"Its getting worse, driver ask me to cancel the order due to delivery point seems to far from him (from surabaya to gresik). The chat assistance not helping, there is no option for cancellation, I should call the CS to cancellation."
