score,content_contractions,compound,neg,neu,pos,vader_rating,keyword
1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?",0.0,0.0,1.0,0.0,0,"[('medicine recipe', 0.6271), ('buying medicine', 0.5984)]"
1,1. Cannot remove profile 2. Cannot delete account,0.0,0.0,1.0,0.0,0,"[('remove profile', 0.7197), ('delete account', 0.6695)]"
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0.0,0.0,1.0,0.0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]"
5,excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,0.7256,0.092,0.673,0.235,1,"[('use halodoc', 0.5905), ('halodoc', 0.5196), ('medicine', 0.3473), ('destination place', 0.2516), ('way', 0.1109)]"
5,Very easy to use,0.4927,0.0,0.484,0.516,2,[]
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]"
5,Very easy to use,0.4927,0.0,0.484,0.516,2,[]
5,This app helps me a lot and it is user friendly. Thank you,0.8074,0.0,0.546,0.454,1,"[('app', 0.5338), ('is user', 0.1495), ('lot', 0.1251)]"
5,Usefull and Better than the other apps,0.4404,0.0,0.674,0.326,1,"[('apps', 0.6862), ('usefull', 0.579)]"
5,Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,0.902,0.0,0.706,0.294,1,"[('medicine', 0.3783), ('45mnt', 0.2099), ('respon ...', 0.1129), ('hand', 0.0823), ('..', 0.0806)]"
5,very simple and helpful,0.4703,0.0,0.495,0.505,2,[]
5,Fast and good response,0.4404,0.0,0.508,0.492,1,"[('response', 0.5928)]"
5,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,0.5719,0.122,0.543,0.335,1,"[('medicine', 0.3162), ('doctor', 0.296), ('problem', 0.2725), ('quick response', 0.1761)]"
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]"
2,"Unreliable for not 'happy flow', slow customer service turnaround.",-0.4585,0.273,0.727,0.0,-1,"[('customer service turnaround', 0.6304), ('flow', 0.3848)]"
5,Excellent application & service,0.5719,0.0,0.448,0.552,2,"[('application', 0.6303), ('service', 0.5993)]"
5,Very helpful app👍,0.4754,0.0,0.564,0.436,1,"[('app', 0.2066)]"
5,Very good apps,0.4927,0.0,0.385,0.615,2,"[('apps', 0.7289)]"
5,Really helpful and easy to use,0.7397,0.0,0.39,0.61,2,[]
5,Very helpful & easy to use,0.7397,0.0,0.39,0.61,2,[]
5,The best virtual doctor apps,0.6369,0.0,0.488,0.512,2,"[('doctor apps', 0.7395)]"
3,Cannot chat the doctor due to an error when I need it the most,-0.4019,0.172,0.828,0.0,-1,"[('doctor', 0.4648), ('error', 0.3915)]"
5,This App was pretty good and user friendly.,0.8519,0.0,0.35,0.65,2,"[('app', 0.5589), ('user', 0.2008)]"
5,Welldone halo doc. 💪,0.0,0.0,1.0,0.0,0,"[('welldone halo doc', 0.938)]"
5,Good helpful user friendly,0.836,0.0,0.101,0.899,2,"[('user', 0.3927)]"
5,To do point Kerenq,0.0,0.0,1.0,0.0,0,"[('do point kerenq', 0.9569)]"
5,You must not copy distribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your help with the email address and,0.6808,0.0,0.859,0.141,1,"[('email address', 0.3636), ('message', 0.3627), ('is tasya', 0.2883), ('use', 0.1199), ('thanks', 0.1042)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,so help ful,0.4576,0.0,0.401,0.599,2,[]
5,Good experience so far.,0.4404,0.0,0.508,0.492,1,"[('experience', 0.6012)]"
5,"Very useful application, it also give fast respon for your complain",0.1761,0.17,0.613,0.217,1,"[('application', 0.5302), ('complain', 0.32), ('respon', 0.1884)]"
5,Nice app and good service,0.6908,0.0,0.345,0.655,2,"[('app', 0.5681), ('service', 0.4517)]"
2,"Helpful but need a lot improvement. Instead of sending chat using sms, make a chat module.",0.7096,0.0,0.704,0.296,1,"[('sending chat', 0.6305), ('using sms', 0.6053), ('chat module', 0.5804), ('lot improvement', 0.2596)]"
5,Very helpfull for me and my family,0.0,0.0,1.0,0.0,0,"[('family', 0.394)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,This app really helpful and easy to use. Its necessary to help patient during pandemy. Thank you souch.,0.8874,0.0,0.55,0.45,1,"[('app', 0.5286), ('pandemy', 0.2816), ('souch', 0.0974)]"
5,"An excellent app. I usually use it to buy medicine, and nothing more. I have not tried using other features. So far so good. Very practical and user friendly. It deserves 5 stars for now.",0.8994,0.0,0.745,0.255,1,"[('app', 0.5289), ('buy medicine', 0.3374), ('features', 0.3024), ('user', 0.1796), ('nothing', 0.1421)]"
5,Very friendly doctor,0.5413,0.0,0.364,0.636,2,"[('doctor', 0.6488)]"
1,Please fix the bug. Worst app ever. Tried to delete one of the order and tells me that need to start all over again.,-0.4215,0.144,0.775,0.081,-1,"[('bug', 0.4454), ('app', 0.362), ('order', 0.2959)]"
5,"Very satisfied, keep up the advancement system🙏",0.4754,0.0,0.721,0.279,1,"[('advancement system', 0.422)]"
5,Useful while lockdown,0.4404,0.0,0.408,0.592,2,"[('lockdown', 0.7284)]"
5,easy to use,0.4404,0.0,0.408,0.592,2,[]
5,So fast and effective,0.5209,0.0,0.471,0.529,2,[]
5,Like it much,0.3612,0.0,0.444,0.556,2,[]
5,Choose the righ doctor..,0.0,0.0,1.0,0.0,0,"[('doctor', 0.5858)]"
5,must have app for health assistance,0.0,0.0,1.0,0.0,0,"[('health assistance', 0.7375), ('have app', 0.5826)]"
5,Good apps..good service,0.4404,0.0,0.408,0.592,2,"[('apps', 0.6158), ('good service', 0.5748)]"
5,Happy to know halodoc,0.5719,0.0,0.448,0.552,2,"[('know halodoc', 0.8974)]"
4,I cannot download the digital receipt.,0.0,0.0,1.0,0.0,0,"[('receipt', 0.6008)]"
5,"Good job, good aplication",0.7003,0.0,0.256,0.744,2,"[('aplication', 0.621), ('job', 0.4625)]"
