content,score,content_contractions,content_translated,lang_id
Great app. Selama ini hanya dipakai untuk beli obat. Sangat membantu saat perlu obat dan tidak bisa ke apotek.,5,Great app. Selama ini hanya dipakai untuk beli obat. Sangat membantu saat perlu obat dan tidak bisa ke apotek.,Great App. So far only used to buy medicine. Very helpful when you need medicine and can't go to the pharmacy.,id
"i've already uploaded the medicine recipe, why i still have to consult before buying medicine?",1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?","i have already uploaded the medicine recipe, why i still have to consult before buying medicine?",en
"barang kadaluarsa masih bisa dikirim, katanya cs 24 jam tapi robot doang. edit : cuma dibalikin sesuai invoice, yg nyangkut di saldo krn refund gmn? tolong lain kali dicek juga itu apotek tobersa medika bisa jual barang udah kadaluarsa dari bulan 7 :)",1,"barang kadaluarsa masih bisa dikirim, katanya cs 24 jam tapi robot doang. edit : cuma dibalikin sesuai invoice, yg nyangkut di saldo krn refund gmn? tolong lain kali dicek juga itu apotek tobersa medika bisa jual barang udah kadaluarsa dari bulan 7 :)","Expired goods can still be sent, he said CS 24 hours but robot only. Edit: Only reversed according to the invoice, which is stuck in the balance because of the refund? Please check the next time, the Tobera Medika Pharmacy can sell the goods already expired from the 7th month :)",id
pilihan yg terbaik untuk anak kos 😃👍🏻,5,pilihan yg terbaik untuk anak kos 😃👍🏻,The best choice for children costs 😃👍🏻,ms
1. Cannot remove profile 2. Cannot delete account,1,1. Cannot remove profile 2. Cannot delete account,1. Cannot remove profile 2. Cannot delete account,en
"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.","Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",en
Apps ini sangat membantu utk berkonsultasi dgn dokter tanpa harus keluar rumah & biaya konsultasi murah,5,Apps ini sangat membantu utk berkonsultasi dgn dokter tanpa harus keluar rumah & biaya konsultasi murah,This apps is very helpful to consult with a doctor without having to leave the house & cheap consultation fees,id
Mayan lah..di era digital gini sangat membantu org yg lagi sakit ringan tapi mager buat ke apotek/dokter😁 sukses terus dan tingkatkan pelayanan untuk rakyat jelata spt saya hahaha,5,Mayan lah..di era digital gini sangat membantu org yg lagi sakit ringan tapi mager buat ke apotek/dokter😁 sukses terus dan tingkatkan pelayanan untuk rakyat jelata spt saya hahaha,"Mayan ... in the digital era, this is very helpful for people who are lightly sick but mager to go to pharmacies/doctors😁 Success continues and improve services for the common people like me hahaha",id
excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,5,excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,en
"Sangat membantu , ga perlu antri nggu in dokter",5,"Sangat membantu , ga perlu antri nggu in dokter","Very Mind, Ga Need It Need Antri Arrive In Doctor",jv
Dokternya yang salah pilih profile saya. kenapa saya harus chat ulang?,1,Dokternya yang salah pilih profile saya. kenapa saya harus chat ulang?,The doctor who chose my profile wrong. Why do I have to chat again?,id
Harga Mahal sekali obat,1,Harga Mahal sekali obat,Very expensive price of medicine,id
"Responsif , ramah",5,"Responsif , ramah","Responsive, friendly",id
Very easy to use,5,Very easy to use,Very easy to use,en
Dokternya baik dan ramah....tq Dok...sukses selalu .....,5,Dokternya baik dan ramah....tq Dok...sukses selalu .....,The doctor is good and friendly .... tq doc ... always success .....,id
