content,score,content_contractions
"bagus, dokter spesialisnya banyak bahkan banyak yang tetap standby di tengah malam",5,"bagus, dokter spesialisnya banyak bahkan banyak yang tetap standby di tengah malam"
bisa cek resiko diabetes di aplikasinya klikdokter,5,bisa cek resiko diabetes di aplikasinya klikdokter
"baru pakai bbrp kali tp so far dapat dokter yang komunikatif dan gercep balesnya, semoga semuanya begitu",5,"baru pakai bbrp kali tp so far dapat dokter yang komunikatif dan gercep balesnya, semoga semuanya begitu"
Fitur apa aja ada deh yang berkaitan sama kesehatan jadi walau gak konsul pun selalu dipakai aplikasinya walau hanya sekadar baca informasi atau cek bmi,5,Fitur apa aja ada deh yang berkaitan sama kesehatan jadi walau gak konsul pun selalu dipakai aplikasinya walau hanya sekadar baca informasi atau cek bmi
sudah berkali-kali pake dan sejauh ini termasuk yang terbaik dari aplikasi telemedicine lainnya..,5,sudah berkali-kali pake dan sejauh ini termasuk yang terbaik dari aplikasi telemedicine lainnya..
baru coba sekali tapi langsung suka karena dapat dokter ya ramah dan fastrep banget jadi komunikasinya lancar,5,baru coba sekali tapi langsung suka karena dapat dokter ya ramah dan fastrep banget jadi komunikasinya lancar
"Gue rencana mau mulai diet, tp bingung banget mulai dari mana akhirnya gue konsul ke dokter gizi di klikdokter",5,"Gue rencana mau mulai diet, tp bingung banget mulai dari mana akhirnya gue konsul ke dokter gizi di klikdokter"
baru coba sekali tapi langsung suka karena dapat dokter ya ramah dan fast respon jadi komunikasinya lancar,5,baru coba sekali tapi langsung suka karena dapat dokter ya ramah dan fast respon jadi komunikasinya lancar
"di klikdokter ternyata bisa rutin konsul buat jaga kesehatan, baguss bangett",5,"di klikdokter ternyata bisa rutin konsul buat jaga kesehatan, baguss bangett"
"heran bgt sama klikdokter, kayanya klikdokter aplikasi kesehatan berkedok sedekah deh, soalnya murah2 bgt biaya konsul dll nyaa.",5,"heran bgt sama klikdokter, kayanya klikdokter aplikasi kesehatan berkedok sedekah deh, soalnya murah2 bgt biaya konsul dll nyaa."
"thank u klikdokter sejauh ini udah ngebantu aku menangani masalah kesehatan, kalo mulai ada yg kerasa sakit tinggal klik klik aplikasi klikdokter",5,"thank you klikdokter sejauh ini udah ngebantu aku menangani masalah kesehatan, kalo mulai ada yg kerasa sakit tinggal klik klik aplikasi klikdokter"
"walaupun konsulnya online, tp diagnosanya tepat siihh. makin yakin pake klikdokterr 👍👍👍",5,"walaupun konsulnya online, tp diagnosanya tepat siihh. makin yakin pake klikdokterr 👍👍👍"
"meskipun konsul via online, tp berasa konsul kesehatan langsung, karena se detail itu penanganan di klikdokter",5,"meskipun konsul via online, tp berasa konsul kesehatan langsung, karena se detail itu penanganan di klikdokter"
"gaakan pindah ke lain telemedicine sih, sejauh ini klikdokter yg terbaik buat aku",5,"gaakan pindah ke lain telemedicine sih, sejauh ini klikdokter yg terbaik buat aku"
"saking fastrespon nya, doi gw aja kalah cepet bales chat sama klikdokter",5,"saking fastrespon nya, doi gw aja kalah cepet bales chat sama klikdokter"
"yang paling gue suka dari sekian banyak fitur di klikdokter tuh fitur info obat, bener2 bermanfaat dan nambah ilmu👍🏻",5,"yang paling gue suka dari sekian banyak fitur di klikdokter tuh fitur info obat, bener2 bermanfaat dan nambah ilmu👍🏻"
"Respon dr dokternya tuh bener jelas,tepat sasaran, ga bertele tele gitu! Jd beneran lgsg tau oh ini sakit nya apa, harus ngapain, beli apa, gitu",5,"Respon dr dokternya tuh bener jelas,tepat sasaran, ga bertele tele gitu! Jd beneran lgsg tau oh ini sakit nya apa, harus ngapain, beli apa, gitu"
"Betah banget nongkrongin aplikasi klikdokter, soalnya tampilannya ga ribet, warna aplikasinya adem jd mata nyaman liatnya",5,"Betah banget nongkrongin aplikasi klikdokter, soalnya tampilannya ga ribet, warna aplikasinya adem jd mata nyaman liatnya"
"Gapaham gimana caranya, tapi setiap konsul di app ini dokternya selalu fast respon, ga ada tuh nunggu antrian 3 org 5 org lg kayak app sebelah. Jadi, kalau ada apa apa yg darurat bs langsung direspon, thank you klikdokter!",5,"Gapaham gimana caranya, tapi setiap konsul di app ini dokternya selalu fast respon, ga ada tuh nunggu antrian 3 org 5 org lg kayak app sebelah. Jadi, kalau ada apa apa yg darurat bs langsung direspon, thank you klikdokter!"
bersyukur bisa bertemu sama klikdokter yang isinya dokter dokter hebat. semangat dan semoga semakin berkembang yaaa klikdokter!,5,bersyukur bisa bertemu sama klikdokter yang isinya dokter dokter hebat. semangat dan semoga semakin berkembang yaaa klikdokter!
Seseneng itu krn nemuin app klikdokterrrr aaa <3 luvluv untuk yg buat aplikasi sekeren ini dan dengan mudahnya diakses gratis tis tis!!,5,Seseneng itu krn nemuin app klikdokterrrr aaa <3 luvluv untuk yg buat aplikasi sekeren ini dan dengan mudahnya diakses gratis it is it is!!
Aplikasi gak bener. Udah bayar mau konsultasi. Eh dokter gak nanggepin konsultasi. Status pengembalian dana.. sampe sekarang gak ada pengembalian dana buat pengaduan gak ada tanggapan sama sekali.. sama sekali bukan aplikasi yang membantu malah merugikan.,1,Aplikasi gak bener. Udah bayar mau konsultasi. Eh dokter gak nanggepin konsultasi. Status pengembalian dana.. sampe sekarang gak ada pengembalian dana buat pengaduan gak ada tanggapan sama sekali.. sama sekali bukan aplikasi yang membantu malah merugikan.
"mau curhat dikit krn sempet gasuka sama aplikasi dokter dokteran yg ga solutif, eh pas ketemu sm klik dokter malah sgt membantu, dan bikin jd percaya utk konsul online gini",5,"mau curhat dikit krn sempet gasuka sama aplikasi dokter dokteran yg ga solutif, eh pas ketemu sm klik dokter malah sgt membantu, dan bikin jd percaya utk konsul online gini"
