score,content_contractions,compound,neg,neu,pos,vader_rating,keyword,word,feature
1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?",0,0,1,0,0,"[('medicine recipe', 0.6271), ('buying medicine', 0.5984)]","('medicine recipe', 0.6271)",prescription
1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?",0,0,1,0,0,"[('medicine recipe', 0.6271), ('buying medicine', 0.5984)]","'buying medicine', 0.5984)",buying medicine
1,1. Cannot remove profile 2. Cannot delete account,0,0,1,0,0,"[('remove profile', 0.7197), ('delete account', 0.6695)]","('remove profile', 0.7197)",delete account
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0,0,1,0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]","('doctor consultation', 0.6149)",consultation
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0,0,1,0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]","'has insurance integration', 0.4072)",insurance integration
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0,0,1,0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]","'service fee', 0.3929)",price
5,excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,0.7256,0.092,0.673,0.235,1,"[('use halodoc', 0.5905), ('halodoc', 0.5196), ('medicine', 0.3473), ('destination place', 0.2516), ('way', 0.1109)]","('use halodoc', 0.5905)",buying medicine
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]","('updated prescription', 0.6493)",prescription
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]","'updated app', 0.5603)",app update
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]","'doctor', 0.3035)",doctor
