app_name,index,content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword,extracted_phrases,grouped_phrases
alodokter,2141,Error Change profile photo (incomplete parameters),error change profile photo (incomplete parameters),en,-0.4019,0.351,0.649,0,-1,"[('profile photo incomplete', 0.7393), ('error change', 0.5217), ('change profile', 0.4858), ('photo', 0.321), ('parameters', 0.3081)]",change profile,profile setting
alodokter,2141,Error Change profile photo (incomplete parameters),error change profile photo (incomplete parameters),en,-0.4019,0.351,0.649,0,-1,"[('profile photo incomplete', 0.7393), ('error change', 0.5217), ('change profile', 0.4858), ('photo', 0.321), ('parameters', 0.3081)]",profile photo incomplete,profile setting
alodokter,1197,"A good application to have a chat with doctors and make an appointment. please add a feature to save patient informations, hence we don't need to key in everytime we want to make an appointment. it's very tiring to input the patient details (especially KTP and address) everytime!","a good application to have a chat with doctors and make an appointment. please add a feature to save patient informations, hence we do not need to key in everytime we want to make an appointment. it is very tiring to input the patient details (especially ktp and address) everytime!",en,0.8398,0,0.815,0.185,1,"[('application chat doctors', 0.6584), ('informations need key', 0.4205), ('ktp address everytime', 0.2811), ('add feature save', 0.1921), ('especially', 0.0485)]",add feature save,save patient information
alodokter,100,"This is a scam app, don't even try. Don't let them have your phone number, more importantly don't let them know YOUR BANK ACCOUNT NUMBER, they can autodebit/autocharge you even without your consent. Worse, they sell your data to third parties. They do all those WITHOUT your consent.","this is a scam application, do not even try. do not let them have your phone number, more importantly do not let them know your bank account number, they can autodebit/autocharge you even without your consent. worse, they sell your data to third parties. they do all those without your consent.",en,0.485,0.121,0.687,0.192,1,"[('scam application', 0.6177), ('number autodebit autocharge', 0.4437), ('know bank account', 0.4238), ('try let phone', 0.2588), ('data', 0.2267)]",number autodebit autocharge,scam
alodokter,132,I got called by a scammer that claimed to be one of you people offering me free chat to all doctors and about DBD insurance. I hate this.,i got called by a scammer that claimed to be one of you people offering me free chat to all doctors and about dbd insurance. i hate this.,en,-0.1027,0.112,0.788,0.1,-1,"[('doctors dbd insurance', 0.6658), ('scammer claimed people', 0.4796), ('offering free chat', 0.3758), ('got called', 0.2744), ('hate', 0.1722)]",scammer claimed people,scam
alodokter,133,"I was afraid I got a scam call from Alodokter and my data privacy leaked. They offer some kind of subs program for chatting, but they pretty nice to me. I asked the customer service via WA first to confirm that, and yes they are official from Alodokter. I asked them to call me again, because it is pretty affordable for a chat package","i was afraid i got a scam call from alodokter and my data privacy leaked. they offer some kind of subs program for chatting, but they pretty nice to me. i asked the customer service via wa first to confirm that, and yes they are official from alodokter. i asked them to call me again, because it is pretty affordable for a chat package",en,0.9306,0.051,0.745,0.204,1,"[('scam alodokter', 0.5964), ('subs program chatting', 0.519), ('wa', 0.3148), ('data privacy', 0.3131), ('yes official', 0.2714)]",scam alodokter,scam
alodokter,141,"I recently contacted the customer service asking my medicine delivery, I needed so bad, but they arrived on time. Doctors also fast responses. I've also got a call from sales, I thought it was a scam, turns out it's not. I'll try the Aloproteksi, they said medicines will be free if I am registered. We'll try","i recently contacted the customer service asking my medicine delivery, i needed so bad, but they arrived on time. doctors also fast responses. i have also got a call from sales, i thought it was a scam, turns out it is not. i will try the aloproteksi, they said medicines will be free if i am registered. we will try",en,-0.518,0.119,0.812,0.068,-1,"[('medicines free registered', 0.6438), ('sales thought scam', 0.4252), ('doctors fast responses', 0.3861), ('aloproteksi', 0.3202), ('bad arrived time', 0.1432)]",sales thought scam,scam
alodokter,143,"please keep every personal data safe. there are forcefull calls that offers alodokter's healthcare plan, and the service person keep urging me by asking my bank account and my address. the call came from 021 official alodokter number and they even know my personal data. i've rejected it several times but it keeps coming, the service keep urging their personal agenda. sucks","please keep every personal data safe. there are forcefull calls that offers alodokter's healthcare plan, and the service person keep urging me by asking my bank account and my address. the call came from 021 official alodokter number and they even know my personal data. i have rejected it several times but it keeps coming, the service keep urging their personal agenda. sucks",en,-0.3919,0.08,0.849,0.071,-1,"[('personal data rejected', 0.5765), ('calls offers alodokter', 0.5072), ('bank account address', 0.2859), ('healthcare', 0.2237), ('keeps coming', 0.1908)]",bank account address,scam
alodokter,169,"Do not call me and ask for my data including bank account number. At first I was kind of excited to hear about the offer until they ask my bank account number. Then I thought it was a scam. Even though it's not a scam, still it's annoying. In the end I turned off the offer because they told me to give my bank account number in the call, not giving an option to register it by myself on the app to see if it's true or not. I make sure I will tell my family about this bad experience. Beware.","do not call me and ask for my data including bank account number. at first i was kind of excited to hear about the offer until they ask my bank account number. then i thought it was a scam. even though it is not a scam, still it is annoying. in the end i turned off the offer because they told me to give my bank account number in the call, not giving an option to register it by myself on the application to see if it is true or not. i make sure i will tell my family about this bad experience. beware.",en,-0.6925,0.125,0.774,0.101,-1,"[('scam annoying', 0.5658), ('data including bank', 0.466), ('giving option register', 0.3424), ('number kind', 0.1337), ('sure tell family', 0.093)]",scam annoying,scam
alodokter,171,"This app is total scam, this autodebt thing is nonsense. my bank account keep getting charge by this app.","this application is total scam, this autodebt thing is nonsense. my bank account keep getting charge by this application.",en,-0.7713,0.282,0.718,0,-1,"[('total scam autodebt', 0.7321), ('bank account', 0.3947), ('charge application', 0.3588), ('nonsense', 0.2096), ('getting', 0.1493)]",total scam autodebt,scam
