content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en,0.1524,0.047,0.922,0.032,1,appointment confirmed refund
This apps only indonesia can use ?,this application only indonesia can use ?,en,0.0,0.0,1.0,0.0,0,application indonesia use
bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en,-0.2242,0.267,0.524,0.209,-1,bad application
"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en,0.3612,0.0,0.615,0.385,1,fast reliable cheap
"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en,-0.6311,0.109,0.891,0.0,-1,witasari uncomfortable doctor
Best app untuk konsultasi,best application untuk konsultasi,en,0.6369,0.0,0.417,0.583,2,application untuk konsultasi
"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en,-0.2824,0.063,0.896,0.041,-1,ordered medicine alodokter
"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en,-0.5106,0.093,0.907,0.0,-1,delivery medicines days
Very easy to use,very easy to use,en,0.4927,0.0,0.484,0.516,2,easy use
"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en,-0.7156,0.357,0.443,0.2,-1,know pays poor
Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en,-0.4576,0.333,0.667,0.0,-1,laggy application chatting
Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en,0.6808,0.0,0.472,0.528,2,smart easy clinical
"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en,0.2263,0.0,0.939,0.061,1,star reviewers said
payment can use bank transfer,payment can use bank transfer,en,0.0,0.0,1.0,0.0,0,payment use bank
"A total disgrace to e-health marketplace. Would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. Got my money deducted and order cancelled right away-- now CS telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. Then what's the point of having inventory management as marketplace here?? It's worse than make a phone call to a drugstore, at least they don't reserve your money","a total disgrace to e-health marketplace. would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. got my money deducted and order cancelled right away-- now cs telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. then what is the point of having inventory management as marketplace here?? it is worse than make a phone call to a drugstore, at least they do not reserve your money",en,-0.9387,0.171,0.829,0.0,-1,inventory management marketplace
"So far so good, i used this some time. Most of the time it works. Hopefully always good and better.","so far so good, i used this some time. most of the time it works. hopefully always good and better.",en,0.9113,0.0,0.56,0.44,1,works hopefully good
"Great experience, really helpful for mom to ask doctor directly","great experience, really helpful for mom to ask doctor directly",en,0.8016,0.0,0.527,0.473,1,mom ask doctor
helps my life,helps my life,en,0.3818,0.0,0.435,0.565,2,helps life
Whatsapp CS is very slow response and unhelpful. Already paid the for medicine but the apps still asking for payment.,whatsapp cs is very slow response and unhelpful. already paid the for medicine but the application still asking for payment.,en,0.0,0.0,1.0,0.0,0,whatsapp cs slow
Good answer by doctor,good answer by doctor,en,0.4404,0.0,0.508,0.492,1,good answer doctor
The best ever app...easy to understand,the best ever application...easy to understand,en,0.6369,0.0,0.543,0.457,1,best application easy
"It's so helpful, thanks Alodokter.","it is so helpful, thanks alodokter.",en,0.7408,0.0,0.324,0.676,2,helpful thanks alodokter
Fast and intergrated,fast and intergrated,en,0.0,0.0,1.0,0.0,0,fast intergrated
Very good application and fast response by doctor...very satisfied! 👍,very good application and fast response by doctor...very satisfied!,en,0.7419,0.0,0.589,0.411,1,good application
Good and thanks.,good and thanks.,en,0.7003,0.0,0.147,0.853,2,good thanks
"It takes too long for the drugs prescribed to be prossed, the delivery system said it will took 1 day but it took 2 days. So disappointed","it takes too long for the drugs prescribed to be prossed, the delivery system said it will took 1 day but it took 2 days. so disappointed",en,-0.757,0.174,0.826,0.0,-1,takes long drugs
"Nice app, smooth and easy to use.","nice application, smooth and easy to use.",en,0.6908,0.0,0.467,0.533,2,nice application smooth
i dont use this app lately but still got charge!,i do not use this application lately but still got charge!,en,0.0,0.0,1.0,0.0,0,lately got charge
Thank you very much.,thank you very much.,en,0.3612,0.0,0.545,0.455,1,thank
"Good apps and useful. However, developer should have solution on how customers could aware regarding queuing process (i.e displaying queuing number) and how to sort online docter easily to increase cx in using this app","good application and useful. however, developer should have solution on how customers could aware regarding queuing process (i.e displaying queuing number) and how to sort online docter easily to increase cx in using this application",en,0.9022,0.0,0.673,0.327,1,queuing process
"slow respon, pdhl lagi butuh urgent bgt.","slow respon, pdhl lagi butuh urgent bgt.",en,0.2023,0.0,0.769,0.231,1,butuh urgent bgt
Great app. Thx,great application. thanks,en,0.765,0.0,0.132,0.868,2,great application thanks
"The app is good. This 1 star is for your WhatsApp CS, very slow response. Even I got recovered before the CS reply my WA.","the application is good. this 1 star is for your whatsapp cs, very slow response. even i got recovered before the cs reply my wa.",en,0.4404,0.0,0.892,0.108,1,star whatsapp cs
Good application very helpful. Thanks Alodokter,good application very helpful. thanks alodokter,en,0.847,0.0,0.246,0.754,2,application helpful thanks
Quick answer and helpful,quick answer and helpful,en,0.4215,0.0,0.517,0.483,1,quick answer helpful
Very bad apps,very bad application,en,-0.5849,0.655,0.345,0.0,-2,bad application
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,easy use
Practise doesn't always mean accurate,practise does not always mean accurate,en,0.0,0.0,1.0,0.0,0,practise does mean
"Easy to use, and good UIX","easy to use, and good uix",en,0.7003,0.0,0.408,0.592,2,use good uix
"Would be better if the app have feature to download invoice, doctor's prescription, and diagnose.","would be better if the application have feature to download invoice, doctor's prescription, and diagnose.",en,0.4404,0.0,0.828,0.172,1,download invoice doctor
"Helpful, eventhoigh the features need to be learned but the doctor that online, are fast reaction than other health telemedicine operator","helpful, eventhoigh the features need to be learned but the doctor that online, are fast reaction than other health telemedicine operator",en,0.2263,0.0,0.913,0.087,1,health telemedicine operator
"Very helpful, specially in pandemic","very helpful, specially in pandemic",en,0.4754,0.0,0.564,0.436,1,helpful specially pandemic
Helpful even at night time.,helpful even at night time.,en,0.4215,0.0,0.588,0.412,1,helpful night time
"very helpful, thank you","very helpful, thank you",en,0.707,0.0,0.254,0.746,2,helpful thank
Easier and cheaper but useful..,easier and cheaper but useful..,en,0.6956,0.0,0.343,0.657,2,easier cheaper useful
Fast Respon and clear information,fast respon and clear information,en,0.3818,0.0,0.606,0.394,1,fast respon clear
Fast and accurate. Thank you Alodokter (dr.Tea),fast and accurate. thank you alodokter (dr.tea),en,0.3612,0.0,0.706,0.294,1,alodokter dr tea
I don't understand why this app can't be opened?,i do not understand why this application cannot be opened?,en,0.0,0.0,1.0,0.0,0,application opened
I had an experience to consult with one of the general doctor. She is very responsive. Nice,i had an experience to consult with one of the general doctor. she is very responsive. nice,en,0.707,0.0,0.719,0.281,1,doctor responsive
Convenient and easy.,convenient and easy.,en,0.4404,0.0,0.408,0.592,2,convenient easy
"Because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what Alodokter has inform, just like my experience where Alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). This is so embarrassing where at that time i only bring 100k and didnt have more exchange, i hope this can be reviewed and changed in the future.","because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what alodokter has inform, just like my experience where alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). this is so embarrassing where at that time i only bring 100k and did not have more exchange, i hope this can be reviewed and changed in the future.",en,-0.129,0.097,0.823,0.081,-1,application price doctors
"Very helpful, fast respons.. mantaabb","very helpful, fast respons.. mantaabb",en,0.4754,0.0,0.564,0.436,1,fast respons mantaabb
very helpfull and informative,very helpfull and informative,en,0.0,0.0,1.0,0.0,0,helpfull informative
Users friendly. Not complicated.,users friendly. not complicated.,en,0.4939,0.0,0.484,0.516,2,users friendly complicated
This app is really helping me,this application is really helping me,en,0.3597,0.0,0.667,0.333,1,application really helping
"Unuseful, waiting for the Doctor for 2 hours without any information","unuseful, waiting for the doctor for 2 hours without any information",en,0.0,0.0,1.0,0.0,0,unuseful waiting doctor
Thx doc .,thanks doc .,en,0.3612,0.0,0.444,0.556,2,thanks doc
Helpful alot for emergency situation,helpful alot for emergency situation,en,0.0516,0.31,0.357,0.333,1,helpful alot emergency
"Great experience,with good doctor.","great experience,with good doctor.",en,0.7906,0.0,0.222,0.778,2,experience good doctor
Used to love this app until I cannot login anymore. It keeps asking for my full name after logging in using otp. Please fix it :(,used to love this application until i cannot login anymore. it keeps asking for my full name after logging in using otp. please fix it :(,en,0.5574,0.09,0.71,0.201,1,application login anymore
Very useful app,very useful application,en,0.4927,0.0,0.385,0.615,2,useful application
Awesome health application,awesome health application,en,0.6249,0.0,0.328,0.672,2,awesome health application
Can you pls stop your CS from contacting us?,can you pls stop your cs from contacting us?,en,-0.2263,0.21,0.667,0.124,-1,stop cs contacting
"Good explanation,, when my baby needs help","good explanation,, when my baby needs help",en,0.6808,0.0,0.472,0.528,2,baby needs help
"I pay the consultation, but the doctor doesn't give any treatmeant for the problem Please if doctor doesn't give a treatmeant to user, please refund our money","i pay the consultation, but the doctor does not give any treatmeant for the problem please if doctor does not give a treatmeant to user, please refund our money",en,0.2846,0.141,0.684,0.175,1,doctor does treatmeant
Thank you dr Bunga for your advise...Good Job 👍,thank you dr bunga for your advise...good job,en,0.3612,0.0,0.783,0.217,1,dr bunga advise
The doctor and the aplication are marvelous,the doctor and the aplication are marvelous,en,0.5994,0.0,0.606,0.394,1,doctor aplication marvelous
Good application and helping for those require medical advice.,good application and helping for those require medical advice.,en,0.6249,0.0,0.579,0.421,1,helping require medical
I use this application with payment 39.000 every month. This offers good service with good doctor. 39.000 rupiah can be used for many account. The good thing is there is physcholog as well. This help me and my family,i use this application with payment 39.000 every month. this offers good service with good doctor. 39.000 rupiah can be used for many account. the good thing is there is physcholog as well. this help me and my family,en,0.9173,0.0,0.709,0.291,1,use application payment
