content,clean_emoji,language
Saya merasa terbantu dengan aplikasi ini dan saya senang dengan pelayanan dokter Destika Fahrina spesialis syaraf. Beliau Ramah tamah dan sabar. Walaupun membutuhkan waktu yg lebih lama untuk menjawab pertanyaan saya. Tidak masalah bagi saya karena tdk terburu2 Bagi yg tidak buru2 bolehlah utk chat konsul dan memastikan kendala kesehatan.,saya merasa terbantu dengan aplikasi ini dan saya senang dengan pelayanan dokter destika fahrina spesialis syaraf. beliau ramah tamah dan sabar. walaupun membutuhkan waktu yg lebih lama untuk menjawab pertanyaan saya. tidak masalah bagi saya karena tdk terburu2 bagi yg tidak buru2 bolehlah utk chat konsul dan memastikan kendala kesehatan.,id
Komentar nya cukup standar sesuai google,komentar nya cukup standar sesuai google,id
Lemot bangeettttt apps nyaaaaaa,lemot bangeettttt application nyaaaaaa,nl
"Cukup membantu kalo lg males ke rumah sakit cuma buat konsul, bisa abis ratusan ribu, tapi kalo disini bisa nanya nanya sepuasnya pake aloproteksi, hemat bangettt","cukup membantu kalo lg males ke rumah sakit cuma buat konsul, bisa abis ratusan ribu, tapi kalo disini bisa nanya nanya sepuasnya pake aloproteksi, hemat bangettt",id
"Dokternya cepat respon dan baik, sangat helpful, Terima Kasih Dr Salsabila Sandi🙏","dokternya cepat respon dan baik, sangat helpful, terima kasih dr salsabila sandi",id
Sangat bermanfaat. 👍,sangat bermanfaat.,id
"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en
"Lebih mudah untuk konsultasi dokter, terutama saat ada bayi, jadi ga perlu repot2 ngantri sambil bawa2 debay (kasian juga kalo bayi harus nganter ibunya periksa ke dokter, huhuhu)","lebih mudah untuk konsultasi dokter, terutama saat ada bayi, jadi ga perlu repot2 ngantri sambil bawa2 debay (kasian juga kalo bayi harus nganter ibunya periksa ke dokter, huhuhu)",id
Mudah dan menyenangkan,mudah dan menyenangkan,id
Pesan penurun demam karena perlu cepat under 1 jam. sudah nunggu 2 jam pun belum dikirim2. better pakai aplikasi K24,pesan penurun demam karena perlu cepat under 1 jam. sudah nunggu 2 jam pun belum dikirim2. better pakai aplikasi k24,id
Aplikasi yang sangat luar biasa membantu. Terima kasih,aplikasi yang sangat luar biasa membantu. terima kasih,id
Sangat membantu disaat kita jauh dari dokter atau rs,sangat membantu disaat kita jauh dari dokter atau rs,id
"Saya sudah bayar, sudah menyampaikan keluhan dan tidak mendapat jawaban terus ditutup begitu saja.. dokter d dunia nyata dan d dunia maya service nya sm sj ternyata","saya sudah bayar, sudah menyampaikan keluhan dan tidak mendapat jawaban terus ditutup begitu saja.. dokter d dunia nyata dan d dunia maya service nya sm sj ternyata",id
"Diminta update terus saat mau login padahal baru install lagi :( sayang bgt padahal biasa pake alodokter dan emg lagi butuh, jadi harus ganti aplikasi dulu","diminta update terus saat mau login padahal baru install lagi :( sayang bgt padahal biasa pake alodokter dan emg lagi butuh, jadi harus ganti aplikasi dulu",id
bagus bangat cuma perlu ditingkatkan untuk aplikasinya supaya ketika dapat resep dokter dan dalam pengiriman paket dikasih live tacking juga supaya kita bisa melacak resep obat yg kita beli bisa dipacak secara real time,bagus bangat cuma perlu ditingkatkan untuk aplikasinya supaya ketika dapat resep dokter dan dalam pengiriman paket dikasih live tacking juga supaya kita bisa melacak resep obat yg kita beli bisa dipacak secara real time,id
"Chat dgn dokter tidak responsif, lagging time-nya parah. Jadi hrs masuk keluar chat room utk dpt response","chat dgn dokter tidak responsif, lagging time-nya parah. jadi hrs masuk keluar chat room utk dpt response",id
"Karena covid, diarahkan untuk chat gratis dengan dokter (beberapa respons otomatis mesin aja), dijanjikan vitamin, sampai sehat ga ada yg dikirim.","karena covid, diarahkan untuk chat gratis dengan dokter (beberapa respons otomatis mesin aja), dijanjikan vitamin, sampai sehat ga ada yg dikirim.",id
Dokternya pasif. Tiba-tiba offline. Customer Servicenya juga tidak memberikan respon yang sesuai.,dokternya pasif. tiba-tiba offline. customer servicenya juga tidak memberikan respon yang sesuai.,id
Cepat dan responsif,cepat dan responsif,fr
Tidak seindah iklannya 😁,tidak seindah iklannya,id
Fast respon dan akurat,fast respon dan akurat,id
Bagus sangat membantu,bagus sangat membantu,id
alodokter ngga ada niatan tambahin fitur vidcall gt 😭😭 kalau mau ke sikolog kadang bingung curhatnya gimanaa kalau typing terlalu panjang jg rada lama😭😭,alodokter ngga ada niatan tambahin fitur vidcall gt kalau mau ke sikolog kadang bingung curhatnya gimanaa kalau typing terlalu panjang jg rada lama,id
This apps only indonesia can use ?,this application only indonesia can use ?,en
"Mantap, aplikasi yg sgt bermanfaat, trimakasih pak dokternya ramah","mantap, aplikasi yg sgt bermanfaat, trimakasih pak dokternya ramah",id
"aneh bgt ni aplikasi, mau beli obat aja diperumit. saya biasanya minum obat A (sesuai anjuran dokter) dan niatnya mau beli di aplikasi ini krn di apotek trdekat kosong, disuruh minta resep ke dokter mereka tp SLOWRESPON PARAH, saat diresepi malah DIGANTI merknya yg berkali2 lipat mahalnya.","aneh bgt ni aplikasi, mau beli obat aja diperumit. saya biasanya minum obat a (sesuai anjuran dokter) dan niatnya mau beli di aplikasi ini krn di apotek trdekat kosong, disuruh minta resep ke dokter mereka tp slowrespon parah, saat diresepi malah diganti merknya yg berkali2 lipat mahalnya.",id
"Aplikasi memudahkan berkonsultasi dengan dokter, obat juga langsung diantar, namun yg disayangkan proses refund jika orderan obat ditolak sangat payah. Uang yg direfund tidak langsung di transfer namun harus menunggu 3 hari kerja (sangat lambat).","aplikasi memudahkan berkonsultasi dengan dokter, obat juga langsung diantar, namun yg disayangkan proses refund jika orderan obat ditolak sangat payah. uang yg direfund tidak langsung di transfer namun harus menunggu 3 hari kerja (sangat lambat).",id
Sangat ribet. Saya ngga bisa chat dokter spesialis dengan alasan chat sebelumnya sedang diproses oleh asuransi? Alasan yang sungguh tidak masuk akal!,sangat ribet. saya ngga bisa chat dokter spesialis dengan alasan chat sebelumnya sedang diproses oleh asuransi? alasan yang sungguh tidak masuk akal!,id
Dokter kulit Martin sangat teliti sebelum memberikan resepnya. Terima kasih.,dokter kulit martin sangat teliti sebelum memberikan resepnya. terima kasih.,id
bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en
"Praktis, dokternya baik2, ga perlu pusing2 cari apotek, lgs dikirim kerumah","praktis, dokternya baik2, ga perlu pusing2 cari apotek, lgs dikirim kerumah",id
Tektokan dan mencerahkan.. semoga semakin banyak membantu masyarakat yg membutuhkan. Special thanks untuk dokter orthopedic dr. Adinandra,tektokan dan mencerahkan.. semoga semakin banyak membantu masyarakat yg membutuhkan. special thanks untuk dokter orthopedic dr. adinandra,id
"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en
"Masuk ke app nya hoki""an, kadang bisa kadang tidak","masuk ke application nya hoki""an, kadang bisa kadang tidak",id
