content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
Good app very helpful,good application very helpful,en,0.7178,0.0,0.25,0.75,2,"[('good application helpful', 0.9562), ('good application', 0.7991), ('application', 0.6533), ('helpful', 0.4635), ('good', 0.1437)]"
"Very easy and usefull, and also it helps a lot.. Thank you","very easy and usefull, and also it helps a lot.. thank you",en,0.807,0.0,0.52,0.48,1,"[('easy usefull helps', 0.75), ('helps lot thank', 0.487), ('easy', 0.3183), ('thank', 0.1798), ('lot', 0.0834)]"
Good organize solve health problem very quick,good organize solve health problem very quick,en,0.25,0.237,0.351,0.412,1,"[('organize solve health', 0.859), ('health problem quick', 0.6252), ('problem', 0.2987), ('quick', 0.1707), ('good', 0.1489)]"
Very helpful when we need a doctor,very helpful when we need a doctor,en,0.4754,0.0,0.66,0.34,1,"[('helpful need doctor', 0.8312), ('doctor', 0.5237), ('helpful', 0.4947), ('helpful need', 0.4279), ('need', 0.2148)]"
"The ""Call Now"" feature is very helpful if there is trouble or misleading in the service process.","the ""call now"" feature is very helpful if there is trouble or misleading in the service process.",en,-0.3197,0.24,0.622,0.138,-1,"[('misleading service process', 0.4903), ('feature helpful', 0.2451), ('process', 0.1617), ('misleading', 0.0506), ('trouble', 0.0429)]"
"The best app for your health. Good doctor and spesialist, fast respond.","the best application for your health. good doctor and spesialist, fast respond.",en,0.7964,0.0,0.585,0.415,1,"[('best application health', 0.7579), ('good doctor', 0.3973), ('spesialist', 0.3533), ('fast respond', 0.2394), ('best', 0.1634)]"
Simple and easy to use..,simple and easy to use..,en,0.4404,0.0,0.58,0.42,1,"[('simple easy use', 0.8761), ('easy use', 0.7962), ('simple easy', 0.6561), ('easy', 0.4815), ('use', 0.4813)]"
Great apps. Good and easy interface,great application. good and easy interface,en,0.872,0.0,0.233,0.767,2,"[('good easy interface', 0.7802), ('great application good', 0.7323), ('application', 0.4851), ('great', 0.2003), ('easy', 0.1876)]"
"I was talking with the doctor and he is late response,the consultation time end,the doctor reply he want to change the medicine,but because of the time end i can not continue i saw the message but i can not reply,i complaint to them they told me that i have to wait for 48 hours,if i am not in urgent what make me use the application at the late night !it doesn't matter for them my health !they must give instant solution but as i said it's not important for them my health!","i was talking with the doctor and he is late response,the consultation time end,the doctor reply he want to change the medicine,but because of the time end i can not continue i saw the message but i can not reply,i complaint to them they told me that i have to wait for 48 hours,if i am not in urgent what make me use the application at the late night !it does not matter for them my health !they must give instant solution but as i said it is not important for them my health!",en,0.5301,0.05,0.876,0.074,1,"[('change medicine time', 0.609), ('use application', 0.3428), ('message reply complaint', 0.2789), ('night does matter', 0.204), ('end continue saw', 0.1303)]"
Ease of use. Advice: pls add filter of education and current place of medical practice.,ease of use. advice: pls add filter of education and current place of medical practice.,en,0.4215,0.0,0.774,0.226,1,"[('place medical practice', 0.5802), ('ease use advice', 0.4894), ('filter education current', 0.4617), ('practice', 0.2633), ('pls add', 0.1618)]"
"Slow history loading, some transactions are not even listed. Edit: the problem is fixed, their customer support quickly contacts me to address the issue","slow history loading, some transactions are not even listed. edit: the problem is fixed, their customer support quickly contacts me to address the issue",en,0.0,0.099,0.803,0.099,0,"[('slow history loading', 0.7162), ('transactions listed', 0.5109), ('quickly contacts address', 0.3337), ('edit problem fixed', 0.2462), ('fixed customer support', 0.1742)]"
useful and always helpful in emergency needs.. thanks Halodoc!,useful and always helpful in emergency needs.. thanks halodoc!,en,0.7424,0.158,0.303,0.539,2,"[('useful helpful emergency', 0.7146), ('halodoc', 0.4893), ('helpful', 0.3795), ('needs', 0.3091), ('thanks', 0.1163)]"
Very handy application which help me for any Medical consultations in second..,very handy application which help me for any medical consultations in second..,en,0.4019,0.0,0.803,0.197,1,"[('application help medical', 0.7285), ('consultations second', 0.5319), ('handy', 0.3307), ('second', 0.1467), ('help', 0.049)]"
Very helpful specially in emergency moment at mid of night..thank u halodoc,very helpful specially in emergency moment at mid of night..thank you halodoc,en,0.1263,0.166,0.637,0.197,1,"[('helpful specially emergency', 0.7132), ('night thank halodoc', 0.5248), ('moment mid', 0.1737), ('thank', 0.1601), ('specially', 0.1558)]"
"careful, this app unprofessionally messed up patient name that in my cass led to difficulties in my insurance claim.","careful, this application unprofessionally messed up patient name that in my cass led to difficulties in my insurance claim.",en,-0.4588,0.207,0.721,0.072,-1,"[('careful application unprofessionally', 0.5412), ('insurance claim', 0.4932), ('messed patient', 0.4265), ('cass', 0.294), ('led difficulties', 0.0247)]"
Nice apps.. plus point that we can connecting our insurance,nice application.. plus point that we can connecting our insurance,en,0.4215,0.0,0.763,0.237,1,"[('connecting insurance', 0.7391), ('nice application', 0.4391), ('point connecting', 0.2799), ('plus point', 0.24), ('nice', 0.1898)]"
very helpfull 👍,very helpfull,en,0.0,0.0,1.0,0.0,0,"[('helpfull', 0.811)]"
"Very convenient. Doctor consultation, medicine check out, and appointments become so much easier with this🤭","very convenient. doctor consultation, medicine check out, and appointments become so much easier with this",en,0.7414,0.0,0.741,0.259,1,"[('convenient doctor consultation', 0.7235), ('appointments easier', 0.6639), ('medicine', 0.3734), ('easier', 0.2764), ('check', 0.0774)]"
Good and helpful,good and helpful,en,0.6908,0.0,0.149,0.851,2,"[('helpful', 0.8037), ('good helpful', 0.786), ('good', 0.3757)]"
"Awesome, fast response","awesome, fast response",en,0.6249,0.0,0.328,0.672,2,"[('awesome fast response', 0.9034), ('fast response', 0.6654), ('response', 0.5199), ('fast', 0.5168), ('awesome', 0.4322)]"
"It's convenient. you don't need to wait for the doctor in the examination room for hours. However, the medicine stock is rarely up to date. I often get refunded by the pharmacy.","it is convenient. you do not need to wait for the doctor in the examination room for hours. however, the medicine stock is rarely up to date. i often get refunded by the pharmacy.",en,0.0,0.0,1.0,0.0,0,"[('wait doctor examination', 0.6029), ('date refunded pharmacy', 0.4084), ('convenient', 0.289), ('stock rarely', 0.2057), ('room hours', 0.1797)]"
Worst service for courier and customer service. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎,worst service for courier and customer service.,en,-0.6249,0.108,0.892,0.0,-1,"[('worst service courier', 0.9141), ('worst service', 0.7207), ('courier customer', 0.7142), ('customer', 0.3973), ('worst', 0.381)]"
"Reliable doctors, quick response, and try their best to speak in English for non-Bahasa Indonesia speakers. Medicine is delivered fast as well. Highly recommended!","reliable doctors, quick response, and try their best to speak in english for non-bahasa indonesia speakers. medicine is delivered fast as well. highly recommended!",en,0.8264,0.0,0.707,0.293,1,"[('indonesia speakers medicine', 0.7472), ('reliable doctors quick', 0.4545), ('bahasa', 0.3467), ('speak english', 0.3201), ('delivered fast highly', 0.2251)]"
"User friendly, good apps, keep up the good work 👍🏻","user friendly, good application, keep up the good work",en,0.8402,0.0,0.55,0.45,1,"[('friendly good application', 0.7277), ('user friendly', 0.5558), ('good work', 0.305), ('user', 0.3039), ('work', 0.2656)]"
"When the doctor consultation finish and recommend prescription, needs to inform the delivery progress such as grab, gojek etc. The customer can see and estimate when the pres comes","when the doctor consultation finish and recommend prescription, needs to inform the delivery progress such as grab, gojek etc. the customer can see and estimate when the pres comes",en,0.6486,0.0,0.836,0.164,1,"[('prescription needs inform', 0.6326), ('consultation finish recommend', 0.4966), ('estimate pres comes', 0.4403), ('delivery', 0.3501), ('progress grab gojek', 0.3382)]"
The apps is very helpful,the application is very helpful,en,0.4754,0.0,0.564,0.436,1,"[('application helpful', 0.8138), ('application', 0.6636), ('helpful', 0.4704)]"
"For the first experience, its great to make a fast consultation. Hopely the advice dan medicine that they suggest suitable to my problem. Thank you","for the first experience, its great to make a fast consultation. hopely the advice dan medicine that they suggest suitable to my problem. thank you",en,0.5994,0.086,0.703,0.211,1,"[('fast consultation hopely', 0.576), ('medicine suggest suitable', 0.5579), ('problem thank', 0.1087), ('advice dan', 0.0802), ('experience great make', 0.0657)]"
Great consultation with your fav doctor,great consultation with your fav doctor,en,0.7964,0.0,0.36,0.64,2,"[('consultation fav doctor', 0.8212), ('great consultation', 0.748), ('doctor', 0.6126), ('fav', 0.2935), ('great', 0.2392)]"
