content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
Good app very helpful,good application very helpful,en,0.7178,0.0,0.25,0.75,2,good application helpful
"Very easy and usefull, and also it helps a lot.. Thank you","very easy and usefull, and also it helps a lot.. thank you",en,0.807,0.0,0.52,0.48,1,easy usefull helps
Good organize solve health problem very quick,good organize solve health problem very quick,en,0.25,0.237,0.351,0.412,1,organize solve health
Very helpful when we need a doctor,very helpful when we need a doctor,en,0.4754,0.0,0.66,0.34,1,helpful need doctor
"The ""Call Now"" feature is very helpful if there is trouble or misleading in the service process.","the ""call now"" feature is very helpful if there is trouble or misleading in the service process.",en,-0.3197,0.24,0.622,0.138,-1,misleading service process
"The best app for your health. Good doctor and spesialist, fast respond.","the best application for your health. good doctor and spesialist, fast respond.",en,0.7964,0.0,0.585,0.415,1,best application health
Simple and easy to use..,simple and easy to use..,en,0.4404,0.0,0.58,0.42,1,simple easy use
Great apps. Good and easy interface,great application. good and easy interface,en,0.872,0.0,0.233,0.767,2,good easy interface
"I was talking with the doctor and he is late response,the consultation time end,the doctor reply he want to change the medicine,but because of the time end i can not continue i saw the message but i can not reply,i complaint to them they told me that i have to wait for 48 hours,if i am not in urgent what make me use the application at the late night !it doesn't matter for them my health !they must give instant solution but as i said it's not important for them my health!","i was talking with the doctor and he is late response,the consultation time end,the doctor reply he want to change the medicine,but because of the time end i can not continue i saw the message but i can not reply,i complaint to them they told me that i have to wait for 48 hours,if i am not in urgent what make me use the application at the late night !it does not matter for them my health !they must give instant solution but as i said it is not important for them my health!",en,0.5301,0.05,0.876,0.074,1,change medicine time
Ease of use. Advice: pls add filter of education and current place of medical practice.,ease of use. advice: pls add filter of education and current place of medical practice.,en,0.4215,0.0,0.774,0.226,1,place medical practice
"Slow history loading, some transactions are not even listed. Edit: the problem is fixed, their customer support quickly contacts me to address the issue","slow history loading, some transactions are not even listed. edit: the problem is fixed, their customer support quickly contacts me to address the issue",en,0.0,0.099,0.803,0.099,0,slow history loading
useful and always helpful in emergency needs.. thanks Halodoc!,useful and always helpful in emergency needs.. thanks halodoc!,en,0.7424,0.158,0.303,0.539,2,useful helpful emergency
Very handy application which help me for any Medical consultations in second..,very handy application which help me for any medical consultations in second..,en,0.4019,0.0,0.803,0.197,1,application help medical
Very helpful specially in emergency moment at mid of night..thank u halodoc,very helpful specially in emergency moment at mid of night..thank you halodoc,en,0.1263,0.166,0.637,0.197,1,helpful specially emergency
"careful, this app unprofessionally messed up patient name that in my cass led to difficulties in my insurance claim.","careful, this application unprofessionally messed up patient name that in my cass led to difficulties in my insurance claim.",en,-0.4588,0.207,0.721,0.072,-1,careful application unprofessionally
Nice apps.. plus point that we can connecting our insurance,nice application.. plus point that we can connecting our insurance,en,0.4215,0.0,0.763,0.237,1,connecting insurance
very helpfull 👍,very helpfull,en,0.0,0.0,1.0,0.0,0,helpfull
"Very convenient. Doctor consultation, medicine check out, and appointments become so much easier with this🤭","very convenient. doctor consultation, medicine check out, and appointments become so much easier with this",en,0.7414,0.0,0.741,0.259,1,convenient doctor consultation
Good and helpful,good and helpful,en,0.6908,0.0,0.149,0.851,2,helpful
"Awesome, fast response","awesome, fast response",en,0.6249,0.0,0.328,0.672,2,awesome fast response
"It's convenient. you don't need to wait for the doctor in the examination room for hours. However, the medicine stock is rarely up to date. I often get refunded by the pharmacy.","it is convenient. you do not need to wait for the doctor in the examination room for hours. however, the medicine stock is rarely up to date. i often get refunded by the pharmacy.",en,0.0,0.0,1.0,0.0,0,wait doctor examination
Worst service for courier and customer service. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎,worst service for courier and customer service.,en,-0.6249,0.108,0.892,0.0,-1,worst service courier
"Reliable doctors, quick response, and try their best to speak in English for non-Bahasa Indonesia speakers. Medicine is delivered fast as well. Highly recommended!","reliable doctors, quick response, and try their best to speak in english for non-bahasa indonesia speakers. medicine is delivered fast as well. highly recommended!",en,0.8264,0.0,0.707,0.293,1,indonesia speakers medicine
"User friendly, good apps, keep up the good work 👍🏻","user friendly, good application, keep up the good work",en,0.8402,0.0,0.55,0.45,1,friendly good application
"When the doctor consultation finish and recommend prescription, needs to inform the delivery progress such as grab, gojek etc. The customer can see and estimate when the pres comes","when the doctor consultation finish and recommend prescription, needs to inform the delivery progress such as grab, gojek etc. the customer can see and estimate when the pres comes",en,0.6486,0.0,0.836,0.164,1,prescription needs inform
The apps is very helpful,the application is very helpful,en,0.4754,0.0,0.564,0.436,1,application helpful
"For the first experience, its great to make a fast consultation. Hopely the advice dan medicine that they suggest suitable to my problem. Thank you","for the first experience, its great to make a fast consultation. hopely the advice dan medicine that they suggest suitable to my problem. thank you",en,0.5994,0.086,0.703,0.211,1,fast consultation hopely
Great consultation with your fav doctor,great consultation with your fav doctor,en,0.7964,0.0,0.36,0.64,2,consultation fav doctor
Very helpful. Can be used in another city.,very helpful. can be used in another city.,en,0.4754,0.0,0.694,0.306,1,helpful used city
Good apps for extraordinary people through for consultant and heal a disease,good application for extraordinary people through for consultant and heal a disease,en,0.4404,0.0,0.791,0.209,1,application extraordinary people
"Good, easy and nice to use","good, easy and nice to use",en,0.8225,0.0,0.259,0.741,2,easy nice use
Helpfull & the doctor is nice,helpfull & the doctor is nice,en,0.4215,0.0,0.641,0.359,1,helpfull doctor nice
thank you for helping my cat find a cure for his illness,thank you for helping my cat find a cure for his illness,en,0.25,0.165,0.549,0.287,1,helping cat cure
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,easy use
"Easy, Fast & Usefull","easy, fast & usefull",en,0.4404,0.0,0.508,0.492,1,easy fast usefull
Really helpful !!,really helpful !!,en,0.5686,0.0,0.352,0.648,2,really helpful
"Really helpful apps.. only if we can have an option to where we can find the medicine completely within 1 prescript even if that means we have to combine the purchase from multiple drugs store. Now, it's trouble some since not all medicine in prescript is available at 1 store. So have to open new chat with doctor just to get the missing medicine and not all doctors willing to follow prescript from previous doctor.","really helpful application.. only if we can have an option to where we can find the medicine completely within 1 prescript even if that means we have to combine the purchase from multiple drugs store. now, it is trouble some since not all medicine in prescript is available at 1 store. so have to open new chat with doctor just to get the missing medicine and not all doctors willing to follow prescript from previous doctor.",en,-0.204,0.061,0.9,0.039,-1,medicine prescript available
There is no automatic cancel for too long waiting the packages,there is no automatic cancel for too long waiting the packages,en,-0.1179,0.17,0.696,0.134,-1,cancel long waiting
Simplifying everything in healthcare! Very convenient,simplifying everything in healthcare! very convenient,en,0.0,0.0,1.0,0.0,0,simplifying healthcare convenient
So far its ok...helping emergency situation,so far its ok...helping emergency situation,en,-0.3818,0.342,0.658,0.0,-1,helping emergency situation
Poor UX. As for payment how can i top up the halodoc saldo when there's no option it can only withdraw your saldo. Need lots of improvement. Sgt tidak membantu dikala sakit.,poor ux. as for payment how can i top up the halodoc saldo when there is no option it can only withdraw your saldo. need lots of improvement. sgt tidak membantu dikala sakit.,en,-0.128,0.139,0.735,0.126,-1,payment halodoc saldo
"The app itself is quite good, but the major problems here are Halodoc is still lacking in pharmacy partners (in my case is for the Sulawesi area), till i wrote this review, the option for drug delivery (if purchased in the application) is still above 1 day (about 4 days to be exact) for my city, how can a sick person waiting that long. And while you're at it, why not also adding more hospital partners in Kendari city area(?","the application itself is quite good, but the major problems here are halodoc is still lacking in pharmacy partners (in my case is for the sulawesi area), till i wrote this review, the option for drug delivery (if purchased in the application) is still above 1 day (about 4 days to be exact) for my city, how can a sick person waiting that long. and while you are at it, why not also adding more hospital partners in kendari city area(?",en,-0.8097,0.096,0.88,0.024,-1,halodoc lacking pharmacy
Go apps in urgent time,go application in urgent time,en,0.2023,0.0,0.69,0.31,1,application urgent time
Super helpful 🫶,super helpful,en,0.7717,0.0,0.13,0.87,2,super helpful
