content,clean_emoji,language
"2 kartu kredit ditolak, pake 1 lagi baru bisa, pdhal semua platinum","2 kartu kredit ditolak, pake 1 lagi baru bisa, pdhal semua platinum",id
Aplikasi yg sangat membantu dan mempermudah akses kebutuhan kesehatan.,aplikasi yg sangat membantu dan mempermudah akses kebutuhan kesehatan.,id
Cepat melayani 👍,cepat melayani,id
"Hari ini transaksi pakai Asuransi Umum Mega di halodoc, padahal pake dokternya udah free cover asuransi, pas mau nebus obat malah disuruh bayar pribadi","hari ini transaksi pakai asuransi umum mega di halodoc, padahal pake dokternya udah free cover asuransi, pas mau nebus obat malah disuruh bayar pribadi",id
Saran hilangkan pengiriman obat 3 hr,saran hilangkan pengiriman obat 3 hr,id
Kadang banyak bug nya . Mohon diperbaiki. Kelancaran apps ny,kadang banyak bug nya . mohon diperbaiki. kelancaran application ny,id
"Aplikasinya Sangat membatu, apalagi vagi kita yang sedang kerja yang belum ada waktu untuk ke dokter. Langsung dikasi resep juga","aplikasinya sangat membatu, apalagi vagi kita yang sedang kerja yang belum ada waktu untuk ke dokter. langsung dikasi resep juga",id
"Aplikasi yg benar2 sangat membantu disaat kerja sekalipun kita bisa konsultasi ke dokter, kapan pun kita bs konsultasi, dpt resep dokter n ataupun cek kesehatan lainnya. Thank you halo doc for helping me.","aplikasi yg benar2 sangat membantu disaat kerja sekalipun kita bisa konsultasi ke dokter, kapan pun kita bs konsultasi, dpt resep dokter n ataupun cek kesehatan lainnya. thank you halo doc for helping me.",id
"nggak bisa bayar pakai mandiri livin, nggak di kasih tau kode perusahaan, cm di kasih kode bayar doang. Pakai gopay juga gagal katanya lg gangguan , ribett","nggak bisa bayar pakai mandiri livin, nggak di kasih tau kode perusahaan, cm di kasih kode bayar doang. pakai gopay juga gagal katanya lg gangguan , ribett",id
Terima kasih. Memudahkan untuk saya memesan obat,terima kasih. memudahkan untuk saya memesan obat,id
Sangat membantu ketika sudah tidak sanggup bergerak,sangat membantu ketika sudah tidak sanggup bergerak,id
Aplikasi ini adalah aplikasi hebat dan brilian. Sangat menolong sekali jika ada keluarga yang sakit di kejauhan. Terima kasih bagi pengelola aplikasi ini.,aplikasi ini adalah aplikasi hebat dan brilian. sangat menolong sekali jika ada keluarga yang sakit di kejauhan. terima kasih bagi pengelola aplikasi ini.,id
semoga makin banyak promo agar dapat Konsul gratisss aamiin,semoga makin banyak promo agar dapat konsul gratisss aamiin,id
"Praktis kapan saja mau konsultasi dengam dokter, tinggal buka hp. Pembayarannya pun mudah dan banyak alternatif pembayaran.Dokternya juga ramah-ramah.","praktis kapan saja mau konsultasi dengam dokter, tinggal buka hp. pembayarannya pun mudah dan banyak alternatif pembayaran.dokternya juga ramah-ramah.",id
Good app very helpful,good application very helpful,en
Memudahkan tanpa perlu tatap muka,memudahkan tanpa perlu tatap muka,id
"Gampang untuk digunakan, mudah untuk menghubungi dokter, sangat membantu apabila sedang sendirian dan sulit untuk keluar. Hanya saja, mungkin bisa lebih banyak untuk opsi pembayaran karena pilihan terbatas.","gampang untuk digunakan, mudah untuk menghubungi dokter, sangat membantu apabila sedang sendirian dan sulit untuk keluar. hanya saja, mungkin bisa lebih banyak untuk opsi pembayaran karena pilihan terbatas.",id
"Konsul dengan dojter Ahli Gizi dr.Herumanuddin Sp.GK sangat memuaskan,pertanyaan detail dn kasi advis utk ibu sy sangat membantu problem kami..semoga Halodoc tambah Bermanfaat utk semua org dn tqmbah sukses","konsul dengan dojter ahli gizi dr.herumanuddin sp.gk sangat memuaskan,pertanyaan detail dn kasi advis utk ibu sy sangat membantu problem kami..semoga halodoc tambah bermanfaat utk semua org dn tqmbah sukses",id
"Sangat membantu.....gak ribet,bebas antrian...pokoknya bagus deh...","sangat membantu.....gak ribet,bebas antrian...pokoknya bagus deh...",id
"Very easy and usefull, and also it helps a lot.. Thank you","very easy and usefull, and also it helps a lot.. thank you",en
"Ok, metode pembayaran sdh banyak, tks.","ok, metode pembayaran sdh banyak, tks.",id
Good organize solve health problem very quick,good organize solve health problem very quick,en
Very helpful when we need a doctor,very helpful when we need a doctor,en
So far sangat membantu utk konsultasi online. Terutama saat di malam hari dan belum ada kesempatan keluar rumah untuk mencari dokter yang praktek.,so far sangat membantu utk konsultasi online. terutama saat di malam hari dan belum ada kesempatan keluar rumah untuk mencari dokter yang praktek.,id
"Kalau dapat dokter yg jelasinnya enak, berasa konsul beneran. Coba kalau yg set2, mager ooi","kalau dapat dokter yg jelasinnya enak, berasa konsul beneran. coba kalau yg set2, mager ooi",id
"gak perlu antri lama, dapat solusi dari dokter berpengalaman","gak perlu antri lama, dapat solusi dari dokter berpengalaman",id
"Fitur pembayaran lebih diperbanyak mis : transfer bank, virtual account, dll. Pembayaran debet saldo link aja selalu gagal","fitur pembayaran lebih diperbanyak mis : transfer bank, virtual account, dll. pembayaran debet saldo link aja selalu gagal",id
"Mudah penggunaannya, sangat membantu ketika butuh obat / konsultasi dokter dadakan","mudah penggunaannya, sangat membantu ketika butuh obat / konsultasi dokter dadakan",id
Terima kasih <3,terima kasih <3,id
"Aplikasi yang bagus, memudahkan dalam bidang kesehatan","aplikasi yang bagus, memudahkan dalam bidang kesehatan",id
"The ""Call Now"" feature is very helpful if there is trouble or misleading in the service process.","the ""call now"" feature is very helpful if there is trouble or misleading in the service process.",en
Bingung beli obat di Halodoc ajah,bingung beli obat di halodoc ajah,id
"The best app for your health. Good doctor and spesialist, fast respond.","the best application for your health. good doctor and spesialist, fast respond.",en
"Aplikasi ga jelas, orang mau beli malah diputer kemana2,, harus chat dulu sama dokter, abis chat disuruh pesen lagi, cari apotek lagi, udh dpt trus mau bayar dibalikin lg harus chat lgama dokter, bgitu aja terus sampe sakitnya sembuh sendiri","aplikasi ga jelas, orang mau beli malah diputer kemana2,, harus chat dulu sama dokter, abis chat disuruh pesen lagi, cari apotek lagi, udh dpt trus mau bayar dibalikin lg harus chat lgama dokter, bgitu aja terus sampe sakitnya sembuh sendiri",id
Aplikasi paling absurd yg pernah sy install. Pesan obat jarak 20 km perlu 5 hari. Tak ada pilihan delivery lain yg kebih cepat. Kalo pasien kritis dah meninggal obatnya baru sampe saat tahlilan hari ke 5. Mekanisme delivery wajib di perbaiki min...sementara aplikasi sy buang dulu.,aplikasi paling absurd yg pernah sy install. pesan obat jarak 20 km perlu 5 hari. tak ada pilihan delivery lain yg kebih cepat. kalo pasien kritis dah meninggal obatnya baru sampe saat tahlilan hari ke 5. mekanisme delivery wajib di perbaiki min...sementara aplikasi sy buang dulu.,id
Simple and easy to use..,simple and easy to use..,en
Great apps. Good and easy interface,great application. good and easy interface,en
"CS parah banget, berbelit mengurus keluhan customer, 25 menit menunggu tanpa hasil dan seperti lari menghindar dibalik tlpon, stlh menunggu 25 meni, ga mau jawab lagi","cs parah banget, berbelit mengurus keluhan customer, 25 menit menunggu tanpa hasil dan seperti lari menghindar dibalik tlpon, stlh menunggu 25 meni, ga mau jawab lagi",id
"Sudah melakukan konsul dengan dokter. Sudah d beri resep. Tp tidak bisa check out obat. Petunjuk pertama, selesaikan konsultasi. Begitu pencet, pesan ovat, beberapa resep pakaibresep dokter. Eh malah d suruh konsul lg. Smpe konsul 4 dokter berarti. Smpe situ d rekomendasikan ovat lg. Eh tetap g bisa lg. Kejafian tanggal 18 mei 2023. Kiirim engaduan k email Malah d tanyanin nama, no telp,SS Kn d apps sudah ad no telp saya.. Aneh layanan nya..","sudah melakukan konsul dengan dokter. sudah d beri resep. tp tidak bisa check out obat. petunjuk pertama, selesaikan konsultasi. begitu pencet, pesan ovat, beberapa resep pakaibresep dokter. eh malah d suruh konsul lg. smpe konsul 4 dokter berarti. smpe situ d rekomendasikan ovat lg. eh tetap g bisa lg. kejafian tanggal 18 mei 2023. kiirim engaduan k email malah d tanyanin nama, no telp,ss kn d application sudah ad no telp saya.. aneh layanan nya..",id
Mempermudah konsultasi dengan dokter dalam keadaan emergency seperti kami di salah satu daerah di papua yang tidak ada dokter hewan,mempermudah konsultasi dengan dokter dalam keadaan emergency seperti kami di salah satu daerah di papua yang tidak ada dokter hewan,id
"I was talking with the doctor and he is late response,the consultation time end,the doctor reply he want to change the medicine,but because of the time end i can not continue i saw the message but i can not reply,i complaint to them they told me that i have to wait for 48 hours,if i am not in urgent what make me use the application at the late night !it doesn't matter for them my health !they must give instant solution but as i said it's not important for them my health!","i was talking with the doctor and he is late response,the consultation time end,the doctor reply he want to change the medicine,but because of the time end i can not continue i saw the message but i can not reply,i complaint to them they told me that i have to wait for 48 hours,if i am not in urgent what make me use the application at the late night !it does not matter for them my health !they must give instant solution but as i said it is not important for them my health!",en
Sangat membantu sekali,sangat membantu sekali,id
Ease of use. Advice: pls add filter of education and current place of medical practice.,ease of use. advice: pls add filter of education and current place of medical practice.,en
Sangat memudahkan sekali,sangat memudahkan sekali,id
"Setelah gagal lengkapi profil, saya coba install ulang dan akhirnya berhasil. Sudah coba konsultasi ke dua dokter dan hasilnya memuaskan. Hanya saja resep dokter gagal diunduh ke pdf jadi blm bisa kasih bintang 5","setelah gagal lengkapi profil, saya coba install ulang dan akhirnya berhasil. sudah coba konsultasi ke dua dokter dan hasilnya memuaskan. hanya saja resep dokter gagal diunduh ke pdf jadi blm bisa kasih bintang 5",id
"Aplikasinya bagus, tapi pengiriman obatnya lama keburu sembuh duluan.","aplikasinya bagus, tapi pengiriman obatnya lama keburu sembuh duluan.",id
Lg eror kah?,lg eror kah?,id
"Slow history loading, some transactions are not even listed. Edit: the problem is fixed, their customer support quickly contacts me to address the issue","slow history loading, some transactions are not even listed. edit: the problem is fixed, their customer support quickly contacts me to address the issue",en
useful and always helpful in emergency needs.. thanks Halodoc!,useful and always helpful in emergency needs.. thanks halodoc!,en
24 jam selalu siap membantu 👍👍,24 jam selalu siap membantu,id
Konsul sama psikolog nya asik bgt...... Tapi ada juga yg sebagian enggak. So far nolong bgt.,konsul sama psikolog nya asik bgt...... tapi ada juga yg sebagian enggak. so far nolong bgt.,id
"Sering bermasalah saat memproses orderan setelah diharuskan konsul dengan dokter utk obt tertentu. Sudah close dan open apps lg tetap eror tdk bs lihat cart lg. Jd cancel pesan semuanya pdhl cm 1 yg perlu resep konsul dokter umum. Dulu halodoc lebih mudah digunakan sebelum ada sistem konsul dahulu dan pilihan pengiriman instant/sameday. Pdhl biaya instant nya jg sudah sangat tinggi dengan waktu tiba yg sangat lama, tp apps nya malah jd lebih sering eror dan loading lama.","sering bermasalah saat memproses orderan setelah diharuskan konsul dengan dokter utk obt tertentu. sudah close dan open application lg tetap eror tdk bs lihat cart lg. jd cancel pesan semuanya pdhl cm 1 yg perlu resep konsul dokter umum. dulu halodoc lebih mudah digunakan sebelum ada sistem konsul dahulu dan pilihan pengiriman instant/sameday. pdhl biaya instant nya jg sudah sangat tinggi dengan waktu tiba yg sangat lama, tp application nya malah jd lebih sering eror dan loading lama.",id
"pertama kali coba konsul dan langsung dikasih resep, semoga resepnya juga manjur aamiin","pertama kali coba konsul dan langsung dikasih resep, semoga resepnya juga manjur aamiin",id
Very handy application which help me for any Medical consultations in second..,very handy application which help me for any medical consultations in second..,en
dokternya bnyk bertanya tdk lgs kasih resep ajs,dokternya bnyk bertanya tdk lgs kasih resep ajs,id
Cepat dan lancar,cepat dan lancar,id
Very helpful specially in emergency moment at mid of night..thank u halodoc,very helpful specially in emergency moment at mid of night..thank you halodoc,en
"Sering eror ya, sudah byr pernah tdk bs chat diam saja. Lalu kadang resep tdk muncul. Harus keluar lalu masuk lg","sering eror ya, sudah byr pernah tdk bs chat diam saja. lalu kadang resep tdk muncul. harus keluar lalu masuk lg",id
"Waktu mau bayar pake VA mandiri, disuruh masukin kode penyedia jasa, tpi kode penyedia jasa nya tidak dikasih tau Alhasil kesulitan bayar","waktu mau bayar pake va mandiri, disuruh masukin kode penyedia jasa, tpi kode penyedia jasa nya tidak dikasih tau alhasil kesulitan bayar",id
cukup mudah untuk konsultasi dan responnya cepat.,cukup mudah untuk konsultasi dan responnya cepat.,id
"careful, this app unprofessionally messed up patient name that in my cass led to difficulties in my insurance claim.","careful, this application unprofessionally messed up patient name that in my cass led to difficulties in my insurance claim.",en
"Aplikasinya bagus, tp sy sempet ngebug dimana ketika sy chat, chat dokter g msk disy. Baru terlihat ketika sesinya selesai. Tolong segera perbaiki","aplikasinya bagus, tp sy sempet ngebug dimana ketika sy chat, chat dokter g msk disy. baru terlihat ketika sesinya selesai. tolong segera perbaiki",id
Berkedok dokter padahal michet,berkedok dokter padahal michet,id
Sangat membantu buat pesen obat sama konsultasi,sangat membantu buat pesen obat sama konsultasi,id
"Tolong ya CS stop telepon... ganggu Kalo ada fredback ya coba diperbaiki aja gausah telepon2... malesin... UXnya masih jelek menurut saya, mencari apotek terdekatnya jg menurutku belom bagus algoritmanya... masih nyari yg jauh bgt... trus blm seamless bgt hubungan antara apps halodoc dan gojek... untuk liat tracking ribet... terus kalo dicancel ga auto nyari driver baru... jd harus minta resep digital baru krn ada obat yg gbs dibeli kalo g ada resep...","tolong ya cs stop telepon... ganggu kalo ada fredback ya coba diperbaiki aja gausah telepon2... malesin... uxnya masih jelek menurut saya, mencari apotek terdekatnya jg menurutku belom bagus algoritmanya... masih nyari yg jauh bgt... trus blm seamless bgt hubungan antara application halodoc dan gojek... untuk liat tracking ribet... terus kalo dicancel ga auto nyari driver baru... jd harus minta resep digital baru krn ada obat yg gbs dibeli kalo g ada resep...",id
Sangat bagus aplikasi,sangat bagus aplikasi,tl
List undangan : 1. Sudin PPAPP 1 orang 2. Sudin Perpus 1 orang 3. Sudin PPKUKM 1 orang 4. Pokja II Kab 4 orang 5. Pokja II Kecamatan 2x2 = 4 Orang 6. Pokja II Kelurahan 1x6 = 6 orang 7. UP2K Kelurahan 1 x 6 = 6 Orang 8. Bkb Paud binaan 1x4 = 4 orang 9. Rptra per kecamatan 1x2 = 2 orang orang 9. Rptra per kecamatan 1x2 = 2 orang Total 29 orang,list undangan : 1. sudin ppapp 1 orang 2. sudin perpus 1 orang 3. sudin ppkukm 1 orang 4. pokja ii kab 4 orang 5. pokja ii kecamatan 2x2 = 4 orang 6. pokja ii kelurahan 1x6 = 6 orang 7. up2k kelurahan 1 x 6 = 6 orang 8. bkb paud binaan 1x4 = 4 orang 9. rptra per kecamatan 1x2 = 2 orang orang 9. rptra per kecamatan 1x2 = 2 orang total 29 orang,id
sangat membantu walaupun utk ongkirnya agak lumayan mahal,sangat membantu walaupun utk ongkirnya agak lumayan mahal,id
Sangat membantu efisiensi waktu.,sangat membantu efisiensi waktu.,id
Dokternya membantu sekali,dokternya membantu sekali,id
"Thank youu.. halodoc adalah jln ninjaku ketika ndn ga sanggup ke rs, tinggal chat aja dokter untuk konsul","thank youu.. halodoc adalah jln ninjaku ketika ndn ga sanggup ke rs, tinggal chat aja dokter untuk konsul",id
Mudah digunakan. Sangat membantu👍,mudah digunakan. sangat membantu,id
"Sangat membantu, semoga terus berkembang dengan baik","sangat membantu, semoga terus berkembang dengan baik",id
"Dokternya fast respons, detal dan praktis banget langsung diresepin obat dan terhubung dengan apotik terdekat untuk pemelian obat yg diresepkan dokter. Tinggal transfer dan duduk di rumah deh nunggu obat dateng","dokternya fast respons, detal dan praktis banget langsung diresepin obat dan terhubung dengan apotik terdekat untuk pemelian obat yg diresepkan dokter. tinggal transfer dan duduk di rumah deh nunggu obat dateng",id
"Sangat membantu, sangat ramah dokternya, resep yg disarankan benar² membantu, dan proses pengiriman obatnya juga cepat, terimakasih halodoc","sangat membantu, sangat ramah dokternya, resep yg disarankan benar membantu, dan proses pengiriman obatnya juga cepat, terimakasih halodoc",id
Chat nya kadang suka delayed. Tapi tetep sangat membantu sih.,chat nya kadang suka delayed. tapi tetep sangat membantu sih.,id
"Cara mudah untuk konsultasi dengan dokter dari mana saja. Sangat berguna untuk konsultasi umum mengenai penyakit, untuk konsultasi lebih mendalam yang memerlukan pemeriksaan lebih lanjut mungkin sebaiknya tetap mengunjungi praktik dokter.","cara mudah untuk konsultasi dengan dokter dari mana saja. sangat berguna untuk konsultasi umum mengenai penyakit, untuk konsultasi lebih mendalam yang memerlukan pemeriksaan lebih lanjut mungkin sebaiknya tetap mengunjungi praktik dokter.",id
Praktis dan mempermudah saat butuh obat cepat tp tidak bisa keluar rumah,praktis dan mempermudah saat butuh obat cepat tp tidak bisa keluar rumah,id
baru setengah jam diputus otomatis bilangnya udh 1 jam,baru setengah jam diputus otomatis bilangnya udh 1 jam,id
Nice apps.. plus point that we can connecting our insurance,nice application.. plus point that we can connecting our insurance,en
"Penggunaan mudah dan umumnya dokter cukup responsif, mudah dikoneksikan dengan asuransi","penggunaan mudah dan umumnya dokter cukup responsif, mudah dikoneksikan dengan asuransi",id
very helpfull 👍,very helpfull,en
