content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
Please fix your maps especially for list of pharmacy,please fix your maps especially for list of pharmacy,en,0.3182,0.0,0.777,0.223,1,"[('especially', 0.0483), ('list', 0.2491), ('fix', 0.2727), ('fix maps', 0.5462), ('pharmacy', 0.5663)]"
"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly","skeptis sama application ini awalnya, abis baca review, trs download and yess its user friendly",en,0.4939,0.0,0.814,0.186,1,"[('yess user friendly', 0.3963), ('trs download', 0.4053), ('ini awalnya', 0.4446), ('baca review', 0.4606), ('skeptis sama application', 0.6777)]"
"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.","doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the application cannot find the pharmacy nearby me, how can i buy the drug? uninstall it after first unfaedah use.",en,-0.296,0.05,0.95,0.0,-1,"[('allergy detailed', 0.4356), ('does ask allergy', 0.4589), ('dose drug prescription', 0.4682), ('drug uninstall unfaedah', 0.4942), ('pharmacy nearby buy', 0.5057)]"
You should Try now...,you should try now...,en,0.0,0.0,1.0,0.0,0,[]
"Worst app, dokter gak responsif","worst application, dokter gak responsif",en,-0.6249,0.506,0.494,0.0,-2,"[('responsif', 0.2858), ('worst', 0.2954), ('application', 0.425), ('gak', 0.4865), ('application dokter', 0.6895)]"
"Easy to use, and the doctors really professional. Also we can consultation in free mode, we'll get 15 minutes to chat with doctor, and it's enough when we want to ask simple thing to doctor quickly.","easy to use, and the doctors really professional. also we can consultation in free mode, we will get 15 minutes to chat with doctor, and it is enough when we want to ask simple thing to doctor quickly.",en,0.7579,0.0,0.815,0.185,1,"[('doctors really', 0.3887), ('doctor want ask', 0.4096), ('consultation free mode', 0.4632), ('minutes chat doctor', 0.4685), ('easy use', 0.5125)]"
"Very bad, I try to make account and always failed, can't login because about session session and session","very bad, i try to make account and always failed, cannot login because about session session and session",en,-0.796,0.307,0.693,0.0,-1,"[('bad', 0.2215), ('try make', 0.2846), ('session session session', 0.4302), ('make account', 0.4764), ('failed login', 0.6413)]"
Very bad application. Paid twice for video call with the doctor but nothing happen. Then giving me voucher but I still can not reach the doctor. Very disappointed,very bad application. paid twice for video call with the doctor but nothing happen. then giving me voucher but i still can not reach the doctor. very disappointed,en,-0.8642,0.307,0.693,0.0,-1,"[('paid twice video', 0.2989), ('bad', 0.2997), ('giving voucher reach', 0.3119), ('doctor disappointed', 0.3706), ('application', 0.3768)]"
This app is very helpful,this application is very helpful,en,0.4754,0.0,0.564,0.436,1,[]
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,[]
