app_name,index,content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword,extracted_phrases,grouped_phrases
klikdokter,47,In the profile settings not listed for birth on February 29,in the profile settings not listed for birth on february 29,en,0,0,1,0,0,"[('settings listed birth', 0.74), ('february 29', 0.573), ('profile', 0.4709), ('29', 0.3784), ('listed', 0.1729)]",settings listed birth,profile setting
klikdokter,47,In the profile settings not listed for birth on February 29,in the profile settings not listed for birth on february 29,en,0,0,1,0,0,"[('settings listed birth', 0.74), ('february 29', 0.573), ('profile', 0.4709), ('29', 0.3784), ('listed', 0.1729)]",profile,profile setting
klikdokter,41,Good aplication. Need room for giving free service at specialized doctors.,good aplication. need room for giving free service at specialized doctors.,en,0.8225,0,0.482,0.518,2,"[('service specialized doctors', 0.6773), ('free service', 0.4975), ('room giving free', 0.4156), ('good aplication need', 0.3396), ('good', 0.1592)]",service specialized doctors,specialist doctor
klikdokter,40,Phone number verification sms not received,phone number verification sms not received,en,0.0772,0,0.794,0.206,1,"[('number verification sms', 0.8509), ('verification', 0.392), ('phone number', 0.3336), ('phone', 0.2565), ('received', 0.1609)]",number verification sms,verify phone number
klikdokter,56,At first i want to give it 4 stars because i see at a glance it's very good and has a complete information. But when i want to verify my phone number it fails. I have tried it many times but the result remains the same. So????,at first i want to give it 4 stars because i see at a glance it is very good and has a complete information. but when i want to verify my phone number it fails. i have tried it many times but the result remains the same. so????,en,-0.364,0.07,0.795,0.135,-1,"[('verify phone number', 0.7173), ('fails tried times', 0.2976), ('stars glance good', 0.199), ('result remains', 0.1529), ('complete information', 0.1344)]",verify phone number,verify phone number
klikdokter,0,Please fix your maps especially for list of pharmacy,please fix your maps especially for list of pharmacy,en,0.3182,0,0.777,0.223,1,"[('list pharmacy', 0.6788), ('fix maps', 0.5462), ('fix', 0.2727), ('list', 0.2491), ('especially', 0.0483)]",list pharmacy,pharmacy list
klikdokter,0,Please fix your maps especially for list of pharmacy,please fix your maps especially for list of pharmacy,en,0.3182,0,0.777,0.223,1,"[('list pharmacy', 0.6788), ('fix maps', 0.5462), ('fix', 0.2727), ('list', 0.2491), ('especially', 0.0483)]",fix maps,maps
klikdokter,0,Please fix your maps especially for list of pharmacy,please fix your maps especially for list of pharmacy,en,0.3182,0,0.777,0.223,1,"[('list pharmacy', 0.6788), ('fix maps', 0.5462), ('fix', 0.2727), ('list', 0.2491), ('especially', 0.0483)]",fix,None
klikdokter,0,Please fix your maps especially for list of pharmacy,please fix your maps especially for list of pharmacy,en,0.3182,0,0.777,0.223,1,"[('list pharmacy', 0.6788), ('fix maps', 0.5462), ('fix', 0.2727), ('list', 0.2491), ('especially', 0.0483)]",list,None
klikdokter,0,Please fix your maps especially for list of pharmacy,please fix your maps especially for list of pharmacy,en,0.3182,0,0.777,0.223,1,"[('list pharmacy', 0.6788), ('fix maps', 0.5462), ('fix', 0.2727), ('list', 0.2491), ('especially', 0.0483)]",especially,None
klikdokter,1,"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly","skeptis sama application ini awalnya, abis baca review, trs download and yess its user friendly",en,0.4939,0,0.814,0.186,1,"[('skeptis sama application', 0.6777), ('review trs download', 0.5308), ('awalnya abis baca', 0.4736), ('application ini', 0.4601), ('yess user friendly', 0.3963)]",skeptis sama application,None
klikdokter,1,"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly","skeptis sama application ini awalnya, abis baca review, trs download and yess its user friendly",en,0.4939,0,0.814,0.186,1,"[('skeptis sama application', 0.6777), ('review trs download', 0.5308), ('awalnya abis baca', 0.4736), ('application ini', 0.4601), ('yess user friendly', 0.3963)]",review trs download,None
klikdokter,1,"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly","skeptis sama application ini awalnya, abis baca review, trs download and yess its user friendly",en,0.4939,0,0.814,0.186,1,"[('skeptis sama application', 0.6777), ('review trs download', 0.5308), ('awalnya abis baca', 0.4736), ('application ini', 0.4601), ('yess user friendly', 0.3963)]",awalnya abis baca,None
klikdokter,1,"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly","skeptis sama application ini awalnya, abis baca review, trs download and yess its user friendly",en,0.4939,0,0.814,0.186,1,"[('skeptis sama application', 0.6777), ('review trs download', 0.5308), ('awalnya abis baca', 0.4736), ('application ini', 0.4601), ('yess user friendly', 0.3963)]",application ini,None
klikdokter,1,"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly","skeptis sama application ini awalnya, abis baca review, trs download and yess its user friendly",en,0.4939,0,0.814,0.186,1,"[('skeptis sama application', 0.6777), ('review trs download', 0.5308), ('awalnya abis baca', 0.4736), ('application ini', 0.4601), ('yess user friendly', 0.3963)]",yess user friendly,user experience
klikdokter,2,"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.","doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the application cannot find the pharmacy nearby me, how can i buy the drug? uninstall it after first unfaedah use.",en,-0.296,0.05,0.95,0,-1,"[('prescription application', 0.5635), ('allergy detailed', 0.4356), ('uninstall unfaedah', 0.3026), ('nearby buy', 0.201), ('conversation', 0.077)]",prescription application,None
klikdokter,2,"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.","doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the application cannot find the pharmacy nearby me, how can i buy the drug? uninstall it after first unfaedah use.",en,-0.296,0.05,0.95,0,-1,"[('prescription application', 0.5635), ('allergy detailed', 0.4356), ('uninstall unfaedah', 0.3026), ('nearby buy', 0.201), ('conversation', 0.077)]",allergy detailed,None
klikdokter,2,"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.","doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the application cannot find the pharmacy nearby me, how can i buy the drug? uninstall it after first unfaedah use.",en,-0.296,0.05,0.95,0,-1,"[('prescription application', 0.5635), ('allergy detailed', 0.4356), ('uninstall unfaedah', 0.3026), ('nearby buy', 0.201), ('conversation', 0.077)]",uninstall unfaedah,None
klikdokter,2,"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.","doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the application cannot find the pharmacy nearby me, how can i buy the drug? uninstall it after first unfaedah use.",en,-0.296,0.05,0.95,0,-1,"[('prescription application', 0.5635), ('allergy detailed', 0.4356), ('uninstall unfaedah', 0.3026), ('nearby buy', 0.201), ('conversation', 0.077)]",nearby buy,buy medicine
klikdokter,2,"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.","doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the application cannot find the pharmacy nearby me, how can i buy the drug? uninstall it after first unfaedah use.",en,-0.296,0.05,0.95,0,-1,"[('prescription application', 0.5635), ('allergy detailed', 0.4356), ('uninstall unfaedah', 0.3026), ('nearby buy', 0.201), ('conversation', 0.077)]",conversation,doctor consultation
klikdokter,3,You should Try now...,you should try now...,en,0,0,1,0,0,"[('try', 0.4473)]",try,None
klikdokter,4,"Worst app, dokter gak responsif","worst application, dokter gak responsif",en,-0.6249,0.506,0.494,0,-2,"[('worst application dokter', 0.8332), ('dokter gak', 0.7325), ('gak responsif', 0.6152), ('application', 0.425), ('worst', 0.2954)]",worst application dokter,None
klikdokter,4,"Worst app, dokter gak responsif","worst application, dokter gak responsif",en,-0.6249,0.506,0.494,0,-2,"[('worst application dokter', 0.8332), ('dokter gak', 0.7325), ('gak responsif', 0.6152), ('application', 0.425), ('worst', 0.2954)]",dokter gak,None
klikdokter,4,"Worst app, dokter gak responsif","worst application, dokter gak responsif",en,-0.6249,0.506,0.494,0,-2,"[('worst application dokter', 0.8332), ('dokter gak', 0.7325), ('gak responsif', 0.6152), ('application', 0.425), ('worst', 0.2954)]",gak responsif,doctor response
klikdokter,4,"Worst app, dokter gak responsif","worst application, dokter gak responsif",en,-0.6249,0.506,0.494,0,-2,"[('worst application dokter', 0.8332), ('dokter gak', 0.7325), ('gak responsif', 0.6152), ('application', 0.425), ('worst', 0.2954)]",application,None
klikdokter,4,"Worst app, dokter gak responsif","worst application, dokter gak responsif",en,-0.6249,0.506,0.494,0,-2,"[('worst application dokter', 0.8332), ('dokter gak', 0.7325), ('gak responsif', 0.6152), ('application', 0.425), ('worst', 0.2954)]",worst,None
klikdokter,5,"Easy to use, and the doctors really professional. Also we can consultation in free mode, we'll get 15 minutes to chat with doctor, and it's enough when we want to ask simple thing to doctor quickly.","easy to use, and the doctors really professional. also we can consultation in free mode, we will get 15 minutes to chat with doctor, and it is enough when we want to ask simple thing to doctor quickly.",en,0.7579,0,0.815,0.185,1,"[('easy use doctors', 0.7214), ('consultation free mode', 0.4632), ('15 minutes chat', 0.2492), ('ask', 0.16), ('really', 0.101)]",easy use doctors,ease of usage
klikdokter,5,"Easy to use, and the doctors really professional. Also we can consultation in free mode, we'll get 15 minutes to chat with doctor, and it's enough when we want to ask simple thing to doctor quickly.","easy to use, and the doctors really professional. also we can consultation in free mode, we will get 15 minutes to chat with doctor, and it is enough when we want to ask simple thing to doctor quickly.",en,0.7579,0,0.815,0.185,1,"[('easy use doctors', 0.7214), ('consultation free mode', 0.4632), ('15 minutes chat', 0.2492), ('ask', 0.16), ('really', 0.101)]",consultation free mode,free mode
