content,clean_emoji,language
"Gagal menghubungkan ke dokter, uang direfund dengan voucher. It's so bad.","gagal menghubungkan ke dokter, uang direfund dengan voucher. it is so bad.",id
Konsep refundnya kok berupa voucher,konsep refundnya kok berupa voucher,id
"ini app nya kenapa belakangan selalu muncul message ""terjadi kesalahan, silahkan di ulangi lagi""?","ini application nya kenapa belakangan selalu muncul message ""terjadi kesalahan, silahkan di ulangi lagi""?",id
Aplikasi gak jelas gak usaj di instal,aplikasi gak jelas gak usaj di instal,id
"Nyoba untuk konsul ke dokter. Tapi udah nyari2 dokter ga ada yang bisa di chat untuk konsul, udah bayar tapi gada dokternya. Terus terusan dapat voucher (untuk pengembalian dana ya bukan buat bonus atau beneran voucher) jadi terpaksa kita harus coba lagi dan hasilnya masih gada dokternya. Jadinya bukannya konsul sama dokter malah konsul sama CS buat pengembalian dana. Anak yang sakit bapanya yang pusing klo gini haha.","nyoba untuk konsul ke dokter. tapi udah nyari2 dokter ga ada yang bisa di chat untuk konsul, udah bayar tapi gada dokternya. terus terusan dapat voucher (untuk pengembalian dana ya bukan buat bonus atau beneran voucher) jadi terpaksa kita harus coba lagi dan hasilnya masih gada dokternya. jadinya bukannya konsul sama dokter malah konsul sama cs buat pengembalian dana. anak yang sakit bapanya yang pusing klo gini haha.",id
"Dokternya pada tidak standby pindah dokter 3 kali baru ada yg respons, padahal indikatornya bulatan hijau menunjukkan dokter siap. Tidak didukung jaringan apotik yang luas. Saya tidak dapat menebus obat yang diresepkan karena menurut aplikasi tidak ada apotik dekat alamat saya, disarankan CS nya untuk memesan dari apotik 20 km jauhnya. Ga usah pakai aplikasi ini deh ngabisin uang untuk bayar konsultasi saja. Auto uninstall.","dokternya pada tidak standby pindah dokter 3 kali baru ada yg respons, padahal indikatornya bulatan hijau menunjukkan dokter siap. tidak didukung jaringan apotik yang luas. saya tidak dapat menebus obat yang diresepkan karena menurut aplikasi tidak ada apotik dekat alamat saya, disarankan cs nya untuk memesan dari apotik 20 km jauhnya. ga usah pakai aplikasi ini deh ngabisin uang untuk bayar konsultasi saja. auto uninstall.",id
Cs nya ramah,cs nya ramah,id
Chat delaynya luar biasa. Dan aplikasi cukup berat padahal di ram 12gb,chat delaynya luar biasa. dan aplikasi cukup berat padahal di ram 12gb,id
"ga pernah kecewa tiap abis konsul di klikdokter, pokoknya TOP markotop","ga pernah kecewa tiap abis konsul di klikdokter, pokoknya top markotop",id
keramahan dokter nya yang perlu dipertanyakan lagi jadi makin betah pakenya,keramahan dokter nya yang perlu dipertanyakan lagi jadi makin betah pakenya,id
banyaaaak banget dokter spesialis yang bakal ngebantu kita selama konsul,banyaaaak banget dokter spesialis yang bakal ngebantu kita selama konsul,id
